OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|OID_COUNTY_20|GEOID_COUNTY_20|NAMELSAD_COUNTY_20|AREALAND_COUNTY_20|AREAWATER_COUNTY_20|MTFCC_COUNTY_20|CLASSFP_COUNTY_20|FUNCSTAT_COUNTY_20|AREALAND_PART|AREAWATER_PART
|||||||27590340438686|01037|Coosa County|1685846963|39991153|G4020|H1|A|1685846963|39991153
|||||||27590107522078|01039|Covington County|2669165738|34194671|G4020|H1|A|2637922124|33904588
|||||||27590354153826|01041|Crenshaw County|1576952763|5388562|G4020|H1|A|1576952763|5388562
|||||||27590109082560|01043|Cullman County|1902962812|52533095|G4020|H1|A|1846302814|52075775
|||||||27590355330804|01045|Dale County|1453276166|4051341|G4020|H1|A|1373402970|3872430
|||||||27590110063905|01047|Dallas County|2534919608|39124778|G4020|H1|A|2487554004|38793793
|||||||27590111542462|01049|DeKalb County|2012620262|4107136|G4020|H1|A|1990227579|4076628
|||||||27590332692170|01051|Elmore County|1601945705|99781059|G4020|H1|A|1549705385|99214303
|||||||27590112132347|01053|Escambia County|2448595161|20024887|G4020|H1|A|2419168029|19919438
|||||||27590112690702|01055|Etowah County|1385916770|35022972|G4020|H1|A|1223156890|29767428
|||||||27590259908588|01057|Fayette County|1625693254|4330881|G4020|H1|A|1625693254|4330881
|||||||27590110945404|01059|Franklin County|1641845708|32639621|G4020|H1|A|1623846298|32604947
|||||||27590348379980|01061|Geneva County|1487908432|11567409|G4020|H1|A|1487673064|11567409
|||||||2759065089056|01063|Greene County|1675782057|33416141|G4020|H1|A|1675782057|33416141
|||||||2759075955640|01065|Hale County|1667926655|32403804|G4020|H1|A|1667926655|32403804
|||||||27590342720554|01067|Henry County|1454959642|16953809|G4020|H1|A|1454959642|16953809
|||||||27590348379981|01069|Houston County|1501742239|4795415|G4020|H1|A|1368429688|4407859
|||||||2759065184704|01071|Jackson County|2792044654|126334707|G4020|H1|A|2751919632|126334707
|||||||2759074305839|01073|Jefferson County|2878852142|32681784|G4020|H1|A|1899654136|28999289
|||||||2759076028216|01075|Lamar County|1566544684|1600679|G4020|H1|A|1566544684|1600679
|||||||27590113220127|01077|Lauderdale County|1730148679|133606345|G4020|H1|A|1654369416|133374660
|||||||2759085397514|01079|Lawrence County|1788864348|68682286|G4020|H1|A|1788861624|68682286
|||||||27590356901009|01081|Lee County|1573528082|21515484|G4020|H1|A|1353243839|19534244
|||||||2759085573885|01083|Limestone County|1450296914|122310594|G4020|H1|A|1343677869|121795126
|||||||27590110063906|01085|Lowndes County|1854651814|23271259|G4020|H1|A|1854651814|23271259
|||||||27590346761501|01087|Macon County|1576435594|11765508|G4020|H1|A|1555206545|11346277
|||||||2759065843265|01089|Madison County|2076136600|28786030|G4020|H1|A|1542635566|26218294
|||||||2759075862060|01091|Marengo County|2530155136|14951685|G4020|H1|A|2518373442|14869317
|||||||27590485068316|01093|Marion County|1922660061|3180617|G4020|H1|A|1922660061|3180617
|||||||2759073801248|01095|Marshall County|1465531833|148495463|G4020|H1|A|1357994574|147604487
|||||||27590543360128|01097|Mobile County|3184064139|1074011171|G4020|H1|A|2612330702|1063900049
|||||||2759076091258|01099|Monroe County|2656469672|22609681|G4020|H1|A|2643888325|22609681
|||||||27590358285309|01101|Montgomery County|2034045843|37716728|G4020|H1|A|1754874702|35973725
|||||||2759074742912|01103|Morgan County|1501337447|50196644|G4020|H1|A|1356817612|49066174
|||||||2759075862061|01105|Perry County|1863936200|10902207|G4020|H1|A|1863936200|10902207
|||||||2759076160576|01107|Pickens County|2282835039|22621093|G4020|H1|A|2282835039|22621093
|||||||27590310671101|01109|Pike County|1740645369|2339145|G4020|H1|A|1715232470|2324162
|||||||27590284495140|01111|Randolph County|1503618358|9283013|G4020|H1|A|1503618358|9283013
|||||||27590287398481|01113|Russell County|1660652494|15564412|G4020|H1|A|1605001016|15465525
|||||||2759085805915|01115|St. Clair County|1635759732|56431785|G4020|H1|A|1553581123|55681633
|||||||27590404135029|01117|Shelby County|2034279155|62288767|G4020|H1|A|1727721983|57034041
|||||||2759076274475|01119|Sumter County|2340898913|24634883|G4020|H1|A|2340898913|24634883
|||||||27590103020889|01121|Talladega County|1908346572|60874403|G4020|H1|A|1817709679|60489550
|||||||27590299579822|01123|Tallapoosa County|1855798005|128790974|G4020|H1|A|1830443169|128755029
|||||||2759075608325|01125|Tuscaloosa County|3420981170|78702314|G4020|H1|A|3192649369|74795194
|||||||2759076456151|01127|Walker County|2048757700|36683003|G4020|H1|A|2005503001|36598289
|||||||2759076658060|01129|Washington County|2797712949|21660030|G4020|H1|A|2797712949|21660030
|||||||2759075862062|01131|Wilcox County|2299540559|50592191|G4020|H1|A|2299540559|50592191
|||||||2759075771138|01133|Winston County|1587657470|48873867|G4020|H1|A|1587657470|48873867
|||||||2759045279864|02013|Aleutians East Borough|18091672533|20799851130|G4020|H1|A|18091672533|20799851130
|||||||2759045076504|02016|Aleutians West Census Area|11377885025|25183635754|G4020|H5|S|11377885025|25183635754
|||||||2759045412859|02020|Anchorage Municipality|4420591349|621302197|G4020|H6|C|4137319495|618051048
|||||||2759045104122|02050|Bethel Census Area|105223804364|12764675306|G4020|H5|S|105184955124|12764023851
|||||||2759045508744|02060|Bristol Bay Borough|1248315815|949775630|G4020|H1|A|1248315815|949775630
|||||||2759015921805707|02063|Chugach Census Area|24682168359|14538928722|G4020|H5|S|24682168359|14538928722
|||||||2759015921805706|02066|Copper River Census Area|63952335592|1217429937|G4020|H5|S|63952335592|1217429937
|||||||2759045518421|02068|Denali Borough|32740165582|66105677|G4020|H1|A|32740165582|66105677
|||||||2759045529140|02070|Dillingham Census Area|47484825242|5943879883|G4020|H5|S|47484825242|5943879883
|||||||27590495867160|02090|Fairbanks North Star Borough|18997068212|259343323|G4020|H1|A|18804625546|252763602
|||||||2759045122484|02100|Haines Borough|6069358955|1041214321|G4020|H1|A|6069358955|1041214321
|||||||275902175956301|02105|Hoonah-Angoon Census Area|16978039504|7804886156|G4020|H5|S|16978039504|7804886156
|||||||2759045059716|02110|Juneau City and Borough|7003406836|1426230792|G4020|H6|C|6965132376|1425597627
|||||||2759045664576|02122|Kenai Peninsula Borough|41484923347|22541184317|G4020|H1|A|41438008741|22541049911
|||||||2759045732176|02130|Ketchikan Gateway Borough|12579382524|4651611659|G4020|H1|A|12518058341|4651032724
|||||||2759045754931|02150|Kodiak Island Borough|17324067231|14148864370|G4020|H1|A|17311159714|14148207839
|||||||2759064048050|02158|Kusilvak Census Area|44229388640|6686187054|G4020|H5|S|44229388640|6686187054
|||||||2759045769594|02164|Lake and Peninsula Borough|61724164724|25989695209|G4020|H1|A|61724164724|25989695209
|||||||2759045842714|02170|Matanuska-Susitna Borough|63990747114|1446632980|G4020|H1|A|63841484458|1440385776
|||||||2759051328910|02180|Nome Census Area|59490634310|13780758093|G4020|H5|S|59490634310|13780758093
|||||||2759053121120|02185|North Slope Borough|230052127559|15551055437|G4020|H1|A|230052127559|15551055437
|||||||2759051358025|02188|Northwest Arctic Borough|92367472817|12837268666|G4020|H1|A|92367472817|12837268666
|||||||275903025880905|02195|Petersburg Borough|7512659846|2385852278|G4020|H1|A|7512659846|2385852278
|||||||275903025880880|02198|Prince of Wales-Hyder Census Area|13643344240|14612163807|G4020|H5|S|13643344240|14612163807
|||||||27590500615976|02220|Sitka City and Borough|7433415763|5037747536|G4020|H6|C|7416338364|5034070146
|||||||275902175956300|02230|Skagway Municipality|1123881121|28784118|G4020|H1|A|1123881121|28784118
|||||||2759063849614|02240|Southeast Fairbanks Census Area|64312145207|749823085|G4020|H5|S|64312145207|749823085
|||||||275903025880906|02275|Wrangell City and Borough|6619997018|2384375227|G4020|H6|C|6619997018|2384375227
|||||||2759053290478|02282|Yakutat City and Borough|19744203659|3986124692|G4020|H1|A|19744203659|3986124692
|||||||27590758926676|02290|Yukon-Koyukuk Census Area|377038917450|5944775428|G4020|H5|S|377038917450|5944775428
|||||||275901190523800|04001|Apache County|29003486215|54150732|G4020|H1|A|29003486215|54150732
|||||||275901053662184|04003|Cochise County|16083178104|17664572|G4020|H1|A|15980535292|17624527
|||||||275901203421680|04005|Coconino County|48216135399|116631422|G4020|H1|A|48090496373|116491894
|||||||275901210014257|04007|Gila County|12321426494|97108979|G4020|H1|A|12264348240|97089809
|||||||275901215522681|04009|Graham County|11970605956|47476264|G4020|H1|A|11943528139|47469025
|||||||275901119931933|04011|Greenlee County|4771128170|13746346|G4020|H1|A|4771128170|13746346
|||||||275901220408981|04012|La Paz County|11646049270|36551630|G4020|H1|A|11623433097|36525912
|||||||275901230330570|04013|Maricopa County|23832530727|62704529|G4020|H1|A|20662208231|52711469
|||||||275901236090883|04015|Mohave County|34530024782|333401646|G4020|H1|A|34291774340|332395789
|||||||275901240836312|04017|Navajo County|25769061034|24125807|G4020|H1|A|25655584481|23577832
|||||||275901253674708|04019|Pima County|23798597680|5112018|G4020|H1|A|22793261156|3637757
|||||||275901230330571|04021|Pinal County|13897997152|22344374|G4020|H1|A|13599215230|21926747
|||||||275901139053248|04023|Santa Cruz County|3201853240|3068237|G4020|H1|A|3168982129|3042237
|||||||275901272621681|04025|Yavapai County|21038142263|11513573|G4020|H1|A|20777457343|11513503
|||||||275901275506789|04027|Yuma County|14280774789|13253159|G4020|H1|A|14131814115|12947358
|||||||27590285262668|05001|Arkansas County|2569632248|120698180|G4020|H1|A|2554428277|120698180
|||||||2759076722917|05003|Ashley County|2397012349|38656004|G4020|H1|A|2373676779|38185126
|||||||27590698799454|05005|Baxter County|1434660641|84907080|G4020|H1|A|1392882063|84866391
|||||||27590717963605|05007|Benton County|2195586678|94813527|G4020|H1|A|1853344334|89512753
|||||||27590715218230|05009|Boone County|1527375340|31797989|G4020|H1|A|1495284419|31723581
|||||||27590287840799|05011|Bradley County|1681335016|9505606|G4020|H1|A|1664850838|9441372
|||||||27590404921020|05013|Calhoun County|1628067881|9885352|G4020|H1|A|1628067881|9885352
|||||||27590719295134|05015|Carroll County|1631531741|22705316|G4020|H1|A|1620699543|22705316
|||||||2759065005684|05017|Chicot County|1649764677|140413175|G4020|H1|A|1649764677|140413175
|||||||27590291183915|05019|Clark County|2242855171|43965580|G4020|H1|A|2226796274|43964450
|||||||27590292634982|05021|Clay County|1655581940|5497697|G4020|H1|A|1655581940|5497697
|||||||27590294849181|05023|Cleburne County|1434747665|98885396|G4020|H1|A|1414614706|98841094
|||||||27590402961411|05025|Cleveland County|1548589576|2561701|G4020|H1|A|1548589576|2561701
|||||||27590297231961|05027|Columbia County|1984098878|1985830|G4020|H1|A|1961364332|1896197
|||||||27590299196714|05029|Conway County|1429458480|37757545|G4020|H1|A|1414640965|37590415
|||||||27590301195954|05031|Craighead County|1831531474|14330185|G4020|H1|A|1711110529|13963038
|||||||27590720071637|05033|Crawford County|1541738667|27519858|G4020|H1|A|1488511463|27469026
|||||||2759085951410|05035|Crittenden County|1587312625|81689126|G4020|H1|A|1528548152|81565374
|||||||2759045474700|05037|Cross County|1596255194|15389371|G4020|H1|A|1582137148|15360956
|||||||27590302881508|05039|Dallas County|1728358306|1731378|G4020|H1|A|1728358306|1731378
|||||||2759086008591|05041|Desha County|1919735549|185180909|G4020|H1|A|1911689164|185180909
|||||||2759076722918|05043|Drew County|2146225294|18789749|G4020|H1|A|2126071238|18719988
|||||||27590306244469|05045|Faulkner County|1676360343|43618226|G4020|H1|A|1591201267|42899103
|||||||27590720730631|05047|Franklin County|1577206794|28920052|G4020|H1|A|1577206794|28920052
|||||||27590689952359|05049|Fulton County|1600705526|6367763|G4020|H1|A|1600705526|6367763
|||||||27590307725931|05051|Garland County|1755088398|147363106|G4020|H1|A|1596404446|132466696
|||||||27590308468113|05053|Grant County|1636573600|2896901|G4020|H1|A|1624904459|2896901
|||||||27590309339730|05055|Greene County|1495304293|5273183|G4020|H1|A|1453378319|5100099
|||||||27590310248357|05057|Hempstead County|1883438547|35737908|G4020|H1|A|1863062157|35574764
|||||||27590311038372|05059|Hot Spring County|1592697317|18725599|G4020|H1|A|1575263803|18725599
|||||||27590312394197|05061|Howard County|1521168583|21361761|G4020|H1|A|1521168583|21361761
|||||||27590313328169|05063|Independence County|1978003742|20251226|G4020|H1|A|1957691211|20229194
|||||||27590314898942|05065|Izard County|1502652313|9576574|G4020|H1|A|1502652313|9576574
|||||||27590316262175|05067|Jackson County|1641044497|20284490|G4020|H1|A|1629184735|20229819
|||||||27590317980780|05069|Jefferson County|2259419628|113071689|G4020|H1|A|2144047327|112053200
|||||||27590721353804|05071|Johnson County|1711970418|59529094|G4020|H1|A|1691786636|59411111
|||||||27590409654201|05073|Lafayette County|1371327392|43028603|G4020|H1|A|1371327392|43028603
|||||||27590319454845|05075|Lawrence County|1521690357|12395693|G4020|H1|A|1508305268|12395693
|||||||2759045148345|05077|Lee County|1553493435|57858191|G4020|H1|A|1553493435|57858191
|||||||27590320017459|05079|Lincoln County|1448998822|26693160|G4020|H1|A|1448998822|26693160
|||||||27590321143021|05081|Little River County|1375943077|83115227|G4020|H1|A|1375943077|83115227
|||||||27590322513297|05083|Logan County|1836602033|53970569|G4020|H1|A|1836602033|53970569
|||||||27590317980781|05085|Lonoke County|1998042333|82719024|G4020|H1|A|1937389717|82509605
|||||||27590721999119|05087|Madison County|2160639839|7455609|G4020|H1|A|2160639839|7455609
|||||||27590700045161|05089|Marion County|1545325347|112951240|G4020|H1|A|1545325347|112951240
|||||||27590237169973|05091|Miller County|1616257250|36848741|G4020|H1|A|1560228578|36499047
|||||||2759086077062|05093|Mississippi County|2336409934|72224609|G4020|H1|A|2287289259|72191077
|||||||2759045192499|05095|Monroe County|1573336900|35707672|G4020|H1|A|1573336900|35707672
|||||||27590324916378|05097|Montgomery County|2021363825|52979164|G4020|H1|A|2021363825|52979164
|||||||27590325767327|05099|Nevada County|1600067809|7489490|G4020|H1|A|1600067809|7489490
|||||||27590722549674|05101|Newton County|2126566287|5935948|G4020|H1|A|2126566287|5935948
|||||||27590462552678|05103|Ouachita County|1897738453|18185713|G4020|H1|A|1869117884|18185713
|||||||27590326664544|05105|Perry County|1428060517|24428402|G4020|H1|A|1428060517|24428402
|||||||2759045319760|05107|Phillips County|1788024160|95966884|G4020|H1|A|1772196492|95966884
|||||||27590327323361|05109|Pike County|1554860546|35285663|G4020|H1|A|1554860546|35285663
|||||||2759086165657|05111|Poinsett County|1963975460|13892745|G4020|H1|A|1952901796|13892745
|||||||27590540787594|05113|Polk County|2219200782|12520929|G4020|H1|A|2201148542|12400872
|||||||27590691443780|05115|Pope County|2100810775|51385065|G4020|H1|A|2055155212|51374615
|||||||2759045192500|05117|Prairie County|1677069898|72638193|G4020|H1|A|1677069898|72638193
|||||||27590323494903|05119|Pulaski County|1964009182|126988884|G4020|H1|A|1473669945|120789290
|||||||27590406570469|05121|Randolph County|1688445990|10370823|G4020|H1|A|1675427640|10369877
|||||||2759045248526|05123|St. Francis County|1644082981|20017606|G4020|H1|A|1625917631|19966782
|||||||275901930861855|05125|Saline County|1873940136|17955554|G4020|H1|A|1707712111|12935458
|||||||27590338422887|05127|Scott County|2312470680|14373451|G4020|H1|A|2312470680|14373451
|||||||27590692909104|05129|Searcy County|1724501452|6461828|G4020|H1|A|1724501452|6461828
|||||||27590341699857|05131|Sebastian County|1375754631|33853972|G4020|H1|A|1224458549|32695533
|||||||27590464502460|05133|Sevier County|1459650889|45919661|G4020|H1|A|1447188157|45868762
|||||||27590345802820|05135|Sharp County|1565969860|5209695|G4020|H1|A|1565969860|5209695
|||||||27590700649498|05137|Stone County|1570673294|8145444|G4020|H1|A|1570673294|8145444
|||||||27590346970370|05139|Union County|2691171273|42102269|G4020|H1|A|2638692999|42102269
|||||||27590693970085|05141|Van Buren County|1837758471|37208243|G4020|H1|A|1837758471|37208243
|||||||27590717963670|05143|Washington County|2438398331|27945135|G4020|H1|A|2228374318|26768415
|||||||27590407441118|05145|White County|2678251423|20554640|G4020|H1|A|2611394233|20445031
|||||||27590408317579|05147|Woodruff County|1517642896|21058193|G4020|H1|A|1517642896|21058193
|||||||27590351096277|05149|Yell County|2409234392|46381281|G4020|H1|A|2404493262|46380799
|||||||27590141293924|06001|Alameda County|1910017353|216902808|G4020|H1|A|1193270701|204057452
|||||||27590289634197|06003|Alpine County|1912292607|12557304|G4020|H1|A|1912292607|12557304
|||||||27590143912562|06005|Amador County|1539965777|29438413|G4020|H1|A|1523093937|29438413
|||||||27590417130535|06007|Butte County|4238488698|105260548|G4020|H1|A|4057186650|105048557
|||||||27590202403841|06009|Calaveras County|2641837359|43789489|G4020|H1|A|2623160025|43780513
|||||||27590312995839|06011|Colusa County|2980332727|14608884|G4020|H1|A|2967373949|14608884
|||||||27590146137883|06013|Contra Costa County|1856838508|225278783|G4020|H1|A|1068337510|218159505
|||||||27590694583066|06015|Del Norte County|2606118035|578742633|G4020|H1|A|2563806787|578516627
|||||||27590143912563|06017|El Dorado County|4423309715|203342317|G4020|H1|A|4246413850|201616049
|||||||27590148916964|06019|Fresno County|15432139292|136609893|G4020|H1|A|14917075184|133181053
|||||||27590317922469|06021|Glenn County|3403160301|33693344|G4020|H1|A|3384541746|33616026
|||||||27590422363115|06023|Humboldt County|9241565229|1253726036|G4020|H1|A|9136856069|1249799303
|||||||275901282617841|06025|Imperial County|10814595262|790216761|G4020|H1|A|10730931117|790109625
|||||||27590322588897|06027|Inyo County|26410783053|77280938|G4020|H1|A|26396563929|77263646
|||||||275901063468975|06029|Kern County|21068634240|78407748|G4020|H1|A|20579762822|75725190
|||||||27590680082832|06031|Kings County|3602601923|3164290|G4020|H1|A|3499204849|3164290
|||||||27590894017015|06033|Lake County|3254452700|188748214|G4020|H1|A|3190073935|187860251
|||||||27590360299065|06035|Lassen County|11762017378|463024232|G4020|H1|A|11753784758|463002630
|||||||275901063468976|06037|Los Angeles County|10513491099|1787501506|G4020|H1|A|6984229564|1747924543
|||||||27590361353911|06039|Madera County|5534591552|42271836|G4020|H1|A|5464298393|42152332
|||||||27590357299439|06041|Marin County|1347889807|797077678|G4020|H1|A|1127488831|782596633
|||||||27590409654202|06043|Mariposa County|3752476985|36220865|G4020|H1|A|3752476985|36220865
|||||||27590680660260|06045|Mendocino County|9082632466|961740401|G4020|H1|A|9011730131|961231640
|||||||27590353744328|06047|Merced County|5019407132|105277636|G4020|H1|A|4864219310|105247059
|||||||27590365948960|06049|Modoc County|10225877726|660503268|G4020|H1|A|10225877726|660503268
|||||||27590672855012|06051|Mono County|7896624729|214695677|G4020|H1|A|7886886686|214691482
|||||||27590330948478|06053|Monterey County|8499623032|1267793988|G4020|H1|A|8281003104|1266892516
|||||||27590699353931|06055|Napa County|1938032964|104262608|G4020|H1|A|1852160668|103643920
|||||||27590678277943|06057|Nevada County|2480587302|41531993|G4020|H1|A|2350465422|37189878
|||||||275901136115782|06059|Orange County|2053449483|406294114|G4020|H1|A|696039676|393738105
|||||||27590347247534|06061|Placer County|3644306224|246466621|G4020|H1|A|3292803323|246025021
|||||||27590368548772|06063|Plumas County|6612400772|156387638|G4020|H1|A|6612400772|156387638
|||||||27590435411091|06065|Riverside County|18671921166|243201314|G4020|H1|A|16906714417|232477434
|||||||27590751848642|06067|Sacramento County|2500040418|75346029|G4020|H1|A|1674976491|65646791
|||||||27590336963765|06069|San Benito County|3596591085|4719300|G4020|H1|A|3562457528|4691136
|||||||27590435411092|06071|San Bernardino County|51975908919|96406054|G4020|H1|A|50446641967|87446202
|||||||27590676180305|06073|San Diego County|10904455257|817317026|G4020|H1|A|9026447581|779403085
|||||||27590355701186|06075|San Francisco County|121507089|479146790|G4020|H6|C|545064|477086957
|||||||2759018474840|06077|San Joaquin County|3606222502|89027654|G4020|H1|A|3185280520|82272655
|||||||27590407929894|06079|San Luis Obispo County|8549172832|815618272|G4020|H1|A|8333730966|815271412
|||||||27590351392772|06081|San Mateo County|1161922036|757123906|G4020|H1|A|796512001|752155311
|||||||27590680369561|06083|Santa Barbara County|7080860393|2729213352|G4020|H1|A|6822697140|2726219214
|||||||27590154292295|06085|Santa Clara County|3343892719|33595850|G4020|H1|A|2528903597|32331351
|||||||27590343736337|06087|Santa Cruz County|1152823584|419714230|G4020|H1|A|960416824|418345710
|||||||27590681809751|06089|Shasta County|9778551576|186157964|G4020|H1|A|9604868286|182975597
|||||||27590346038394|06091|Sierra County|2468694582|23299110|G4020|H1|A|2468522457|23299110
|||||||275901916854807|06093|Siskiyou County|16261933231|179149816|G4020|H1|A|16232579274|179060587
|||||||27590692736233|06095|Solano County|2128527683|218619356|G4020|H1|A|1858836380|216234408
|||||||27590690880842|06097|Sonoma County|4080862341|498084088|G4020|H1|A|3736373258|497392082
|||||||27590156479732|06099|Stanislaus County|3874667294|46351770|G4020|H1|A|3607686539|45178481
|||||||27590358177427|06101|Sutter County|1560975503|14811541|G4020|H1|A|1512387072|14811541
|||||||27590665023800|06103|Tehama County|7638229340|33767224|G4020|H1|A|7604439841|33483495
|||||||27590374986233|06105|Trinity County|8234265080|73407950|G4020|H1|A|8234265080|73407950
|||||||27590148916965|06107|Tulare County|12493840855|37260863|G4020|H1|A|12266734198|37092508
|||||||27590672676823|06109|Tuolumne County|5752133237|138668837|G4020|H1|A|5676788013|138126847
|||||||275901146646849|06111|Ventura County|4767622152|947345735|G4020|H1|A|4220951458|939145113
|||||||27590695758752|06113|Yolo County|2628145869|22877242|G4020|H1|A|2510126257|20014140
|||||||27590347247535|06115|Yuba County|1636887865|31084093|G4020|H1|A|1598455529|30872185
|||||||27590700234319|08001|Adams County|3021830728|43701811|G4020|H1|A|2657010693|33446297
|||||||2759086215981|08003|Alamosa County|1871643031|1670455|G4020|H1|A|1851739839|1631460
|||||||27590703789414|08005|Arapahoe County|2066446984|19801967|G4020|H1|A|1685817804|15176747
|||||||275901333230110|08007|Archuleta County|3496712164|13740247|G4020|H1|A|3480544405|12891401
|||||||27590100102454|08009|Baca County|6617400567|6142192|G4020|H1|A|6617400567|6142192
|||||||27590697550409|08011|Bent County|3918255148|73141518|G4020|H1|A|3918255148|73141518
|||||||27590701435070|08013|Boulder County|1881324131|36486613|G4020|H1|A|1685778977|34290519
|||||||27590700234320|08014|Broomfield County|85386686|1502572|G4020|H6|C|17660646|108007
|||||||27590698258048|08015|Chaffee County|2624715692|3999975|G4020|H1|A|2604026622|3911352
|||||||27590535192644|08017|Cheyenne County|4605713960|8166129|G4020|H1|A|4605713960|8166129
|||||||27590702628621|08019|Clear Creek County|1023234052|3274908|G4020|H1|A|1023234052|3274908
|||||||275901015901744|08021|Conejos County|3334423895|9235012|G4020|H1|A|3334423895|9235012
|||||||27590101551562|08023|Costilla County|3179452300|8828906|G4020|H1|A|3179452300|8828906
|||||||27590702887008|08025|Crowley County|2039427872|33422981|G4020|H1|A|2039427872|33422981
|||||||27590703302236|08027|Custer County|1913031975|3364150|G4020|H1|A|1913031975|3364150
|||||||27590332290708|08029|Delta County|2958090989|16786781|G4020|H1|A|2941964417|16657173
|||||||27590700234321|08031|Denver County|396463432|4275563|G4020|H6|C|109101820|78494
|||||||27590333258813|08033|Dolores County|2763958508|2716141|G4020|H1|A|2763958508|2716141
|||||||27590711656416|08035|Douglas County|2176225539|6795841|G4020|H1|A|1890635804|6420150
|||||||27590337802464|08037|Eagle County|4362754513|18970351|G4020|H1|A|4288894390|17810581
|||||||27590367127976|08039|Elbert County|4793643992|442147|G4020|H1|A|4793643992|442147
|||||||27590704502958|08041|El Paso County|5507391789|7070359|G4020|H1|A|4962322290|6016846
|||||||27590705517676|08043|Fremont County|3972705319|2235542|G4020|H1|A|3931474432|2204017
|||||||27590339760720|08045|Garfield County|7633807267|21696625|G4020|H1|A|7588787517|21568459
|||||||27590705932639|08047|Gilpin County|388556750|942056|G4020|H1|A|388556750|942056
|||||||27590342471573|08049|Grand County|4782255548|59907315|G4020|H1|A|4756791891|59745241
|||||||27590345327491|08051|Gunnison County|8389334153|53070998|G4020|H1|A|8379865475|53059273
|||||||27590346338757|08053|Hinsdale County|2893614472|15324685|G4020|H1|A|2893614472|15324685
|||||||27590706446084|08055|Huerfano County|4120756290|5792101|G4020|H1|A|4120756290|5792101
|||||||27590347819837|08057|Jackson County|4179530231|18750017|G4020|H1|A|4179530231|18750017
|||||||27590702223972|08059|Jefferson County|1979735379|25071495|G4020|H1|A|1551844050|16448181
|||||||27590707734456|08061|Kiowa County|4578603586|47032918|G4020|H1|A|4578603586|47032918
|||||||27590349088900|08063|Kit Carson County|5596501950|2251929|G4020|H1|A|5596501950|2251929
|||||||27590707841491|08065|Lake County|976215864|18111565|G4020|H1|A|969754054|18111565
|||||||27590375563560|08067|La Plata County|4376255276|25642579|G4020|H1|A|4351777374|25557187
|||||||27590352525178|08069|Larimer County|6723014102|98984559|G4020|H1|A|6406859716|82537551
|||||||27590708067435|08071|Las Animas County|12361852647|6929970|G4020|H1|A|12349543029|6929920
|||||||27590708275148|08073|Lincoln County|6676158658|22780358|G4020|H1|A|6676158658|22780358
|||||||27590354287523|08075|Logan County|4761947975|16363553|G4020|H1|A|4747918382|16363553
|||||||27590356301770|08077|Mesa County|8621348079|31991710|G4020|H1|A|8425523238|28435297
|||||||27590346338761|08079|Mineral County|2268209076|5222161|G4020|H1|A|2268209076|5222161
|||||||27590358008170|08081|Moffat County|12284943821|19803411|G4020|H1|A|12270696373|19803411
|||||||275901343259915|08083|Montezuma County|5255990018|27208195|G4020|H1|A|5244988541|27137802
|||||||27590368167188|08085|Montrose County|5804023554|4923260|G4020|H1|A|5753562706|4923260
|||||||27590364453949|08087|Morgan County|3316441488|34663098|G4020|H1|A|3295560819|34663098
