"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"0500000US04017","Navajo County, Arizona","56270","null","150","null",
"0500000US04019","Pima County, Arizona","467191","null","619","null",
"0500000US04021","Pinal County, Arizona","171384","null","684","null",
"0500000US04023","Santa Cruz County, Arizona","18677","null","66","null",
"0500000US04025","Yavapai County, Arizona","119753","null","324","null",
"0500000US04027","Yuma County, Arizona","91690","null","403","null",
"0500000US05001","Arkansas County, Arkansas","8776","null","57","null",
"0500000US05003","Ashley County, Arkansas","9466","null","34","null",
"0500000US05005","Baxter County, Arkansas","22689","null","91","null",
"0500000US05007","Benton County, Arkansas","110752","null","194","null",
"0500000US05009","Boone County, Arkansas","17311","null","69","null",
"0500000US05011","Bradley County, Arkansas","5172","null","36","null",
"0500000US05013","Calhoun County, Arkansas","2498","null","203","null",
"0500000US05015","Carroll County, Arkansas","13829","null","72","null",
"0500000US05017","Chicot County, Arkansas","5140","null","67","null",
"0500000US05019","Clark County, Arkansas","10031","null","179","null",
"0500000US05021","Clay County, Arkansas","7536","null","28","null",
"0500000US05023","Cleburne County, Arkansas","15602","null","59","null",
"0500000US05025","Cleveland County, Arkansas","3632","null","36","null",
"0500000US05027","Columbia County, Arkansas","11075","null","341","null",
"0500000US05029","Conway County, Arkansas","9658","null","34","null",
"0500000US05031","Craighead County, Arkansas","46285","null","154","null",
"0500000US05033","Crawford County, Arkansas","25444","null","95","null",
"0500000US05035","Crittenden County, Arkansas","21356","null","70","null",
"0500000US05037","Cross County, Arkansas","7637","null","37","null",
"0500000US05039","Dallas County, Arkansas","3566","null","98","null",
"0500000US05041","Desha County, Arkansas","5859","null","31","null",
"0500000US05043","Drew County, Arkansas","8282","null","98","null",
"0500000US05045","Faulkner County, Arkansas","51410","null","244","null",
"0500000US05047","Franklin County, Arkansas","7746","null","63","null",
"0500000US05049","Fulton County, Arkansas","6260","null","36","null",
"0500000US05051","Garland County, Arkansas","52115","null","170","null",
"0500000US05053","Grant County, Arkansas","7846","null","34","null",
"0500000US05055","Greene County, Arkansas","19068","null","77","null",
"0500000US05057","Hempstead County, Arkansas","9715","null","55","null",
"0500000US05059","Hot Spring County, Arkansas","14227","null","69","null",
"0500000US05061","Howard County, Arkansas","6169","null","45","null",
"0500000US05063","Independence County, Arkansas","16634","null","63","null",
"0500000US05065","Izard County, Arkansas","6795","null","146","null",
"0500000US05067","Jackson County, Arkansas","7149","null","156","null",
"0500000US05069","Jefferson County, Arkansas","30921","null","279","null",
"0500000US05071","Johnson County, Arkansas","11466","null","113","null",
"0500000US05073","Lafayette County, Arkansas","3977","null","29","null",
"0500000US05075","Lawrence County, Arkansas","7540","null","57","null",
"0500000US05077","Lee County, Arkansas","3774","null","62","null",
"0500000US05079","Lincoln County, Arkansas","4432","null","165","null",
"0500000US05081","Little River County, Arkansas","6089","null","58","null",
"0500000US05083","Logan County, Arkansas","9779","null","98","null",
"0500000US05085","Lonoke County, Arkansas","29854","null","120","null",
"0500000US05087","Madison County, Arkansas","7613","null","25","null",
"0500000US05089","Marion County, Arkansas","9426","null","65","null",
"0500000US05091","Miller County, Arkansas","19746","null","97","null",
"0500000US05093","Mississippi County, Arkansas","19250","null","87","null",
"0500000US05095","Monroe County, Arkansas","3894","null","44","null",
"0500000US05097","Montgomery County, Arkansas","5480","null","47","null",
"0500000US05099","Nevada County, Arkansas","4325","null","43","null",
"0500000US05101","Newton County, Arkansas","4163","null","42","null",
"0500000US05103","Ouachita County, Arkansas","11983","null","56","null",
"0500000US05105","Perry County, Arkansas","4941","null","29","null",
"0500000US05107","Phillips County, Arkansas","8523","null","47","null",
"0500000US05109","Pike County, Arkansas","5328","null","39","null",
"0500000US05111","Poinsett County, Arkansas","10419","null","69","null",
"0500000US05113","Polk County, Arkansas","9669","null","26","null",
"0500000US05115","Pope County, Arkansas","26811","null","170","null",
"0500000US05117","Prairie County, Arkansas","4133","null","37","null",
"0500000US05119","Pulaski County, Arkansas","189271","null","309","null",
"0500000US05121","Randolph County, Arkansas","8572","null","69","null",
"0500000US05123","St. Francis County, Arkansas","9741","null","105","null",
"0500000US05125","Saline County, Arkansas","51352","null","112","null",
"0500000US05127","Scott County, Arkansas","4898","null","29","null",
"0500000US05129","Searcy County, Arkansas","4723","null","54","null",
"0500000US05131","Sebastian County, Arkansas","56672","null","156","null",
"0500000US05133","Sevier County, Arkansas","6771","null","34","null",
"0500000US05135","Sharp County, Arkansas","9544","null","51","null",
"0500000US05137","Stone County, Arkansas","6792","null","31","null",
"0500000US05139","Union County, Arkansas","18779","null","63","null",
"0500000US05141","Van Buren County, Arkansas","9763","null","47","null",
"0500000US05143","Washington County, Arkansas","98774","null","249","null",
"0500000US05145","White County, Arkansas","33324","null","187","null",
"0500000US05147","Woodruff County, Arkansas","3319","null","43","null",
"0500000US05149","Yell County, Arkansas","9319","null","46","null",
"0500000US06001","Alameda County, California","617045","null","836","null",
"0500000US06003","Alpine County, California","1626","null","100","null",
"0500000US06005","Amador County, California","18708","null","156","null",
"0500000US06007","Butte County, California","95047","null","288","null",
"0500000US06009","Calaveras County, California","27476","null","73","null",
"0500000US06011","Colusa County, California","8085","null","43","null",
"0500000US06013","Contra Costa County, California","421239","null","284","null",
"0500000US06015","Del Norte County, California","11093","null","112","null",
"0500000US06017","El Dorado County, California","92999","null","216","null",
"0500000US06019","Fresno County, California","336509","null","368","null",
"0500000US06021","Glenn County, California","10890","null","39","null",
"0500000US06023","Humboldt County, California","62137","null","184","null",
"0500000US06025","Imperial County, California","56636","null","172","null",
"0500000US06027","Inyo County, California","9457","null","171","null",
"0500000US06029","Kern County, California","299810","null","565","null",
"0500000US06031","Kings County, California","46145","null","272","null",
"0500000US06033","Lake County, California","34309","null","79","null",
"0500000US06035","Lassen County, California","12273","null","218","null",
"0500000US06037","Los Angeles County, California","3578801","null","1221","null",
"0500000US06039","Madera County, California","49512","null","273","null",
"0500000US06041","Marin County, California","111570","null","343","null",
"0500000US06043","Mariposa County, California","9832","null","182","null",
"0500000US06045","Mendocino County, California","41276","null","151","null",
"0500000US06047","Merced County, California","86767","null","196","null",
"0500000US06049","Modoc County, California","4809","null","100","null",
"0500000US06051","Mono County, California","13616","null","32","null",
"0500000US06053","Monterey County, California","143094","null","576","null",
"0500000US06055","Napa County, California","55446","null","176","null",
"0500000US06057","Nevada County, California","53442","null","109","null",
"0500000US06059","Orange County, California","1121753","null","808","null",
"0500000US06061","Placer County, California","170324","null","255","null",
"0500000US06063","Plumas County, California","15422","null","58","null",
"0500000US06065","Riverside County, California","844425","null","1228","null",
"0500000US06067","Sacramento County, California","583858","null","1160","null",
"0500000US06069","San Benito County, California","19961","null","96","null",
"0500000US06071","San Bernardino County, California","728674","null","695","null",
"0500000US06073","San Diego County, California","1221613","null","1200","null",
"0500000US06075","San Francisco County, California","404720","null","594","null",
"0500000US06077","San Joaquin County, California","249018","null","415","null",
"0500000US06079","San Luis Obispo County, California","123033","null","858","null",
"0500000US06081","San Mateo County, California","282570","null","322","null",
"0500000US06083","Santa Barbara County, California","157809","null","354","null",
"0500000US06085","Santa Clara County, California","683510","null","482","null",
"0500000US06087","Santa Cruz County, California","106110","null","518","null",
"0500000US06089","Shasta County, California","79490","null","176","null",
"0500000US06091","Sierra County, California","2099","null","102","null",
"0500000US06093","Siskiyou County, California","23041","null","82","null",
"0500000US06095","Solano County, California","161341","null","323","null",
"0500000US06097","Sonoma County, California","205136","null","354","null",
"0500000US06099","Stanislaus County, California","182606","null","275","null",
"0500000US06101","Sutter County, California","34458","null","112","null",
"0500000US06103","Tehama County, California","27347","null","117","null",
"0500000US06105","Trinity County, California","8233","null","43","null",
"0500000US06107","Tulare County, California","149859","null","232","null",
"0500000US06109","Tuolumne County, California","31413","null","151","null",
"0500000US06111","Ventura County, California","292220","null","399","null",
"0500000US06113","Yolo County, California","79695","null","298","null",
"0500000US06115","Yuba County, California","29152","null","139","null",
"0500000US08001","Adams County, Colorado","183772","null","227","null",
"0500000US08003","Alamosa County, Colorado","7009","null","109","null",
"0500000US08005","Arapahoe County, Colorado","259291","null","226","null",
"0500000US08007","Archuleta County, Colorado","9445","null","37","null",
"0500000US08009","Baca County, Colorado","1997","null","30","null",
"0500000US08011","Bent County, Colorado","2151","null","209","null",
"0500000US08013","Boulder County, Colorado","139302","null","321","null",
"0500000US08014","Broomfield County, Colorado","30567","null","92","null",
"0500000US08015","Chaffee County, Colorado","10804","null","127","null",
"0500000US08017","Cheyenne County, Colorado","945","null","72","null",
"0500000US08019","Clear Creek County, Colorado","5677","null","50","null",
"0500000US08021","Conejos County, Colorado","4037","null","26","null",
"0500000US08023","Costilla County, Colorado","2401","null","40","null",
"0500000US08025","Crowley County, Colorado","1521","null","168","null",
"0500000US08027","Custer County, Colorado","4125","null","292","null",
"0500000US08029","Delta County, Colorado","14742","null","113","null",
"0500000US08031","Denver County, Colorado","335131","null","365","null",
"0500000US08033","Dolores County, Colorado","1679","null","128","null",
"0500000US08035","Douglas County, Colorado","132519","null","128","null",
"0500000US08037","Eagle County, Colorado","32611","null","47","null",
"0500000US08039","Elbert County, Colorado","9629","null","32","null",
"0500000US08041","El Paso County, Colorado","283726","null","424","null",
"0500000US08043","Fremont County, Colorado","20176","null","430","null",
"0500000US08045","Garfield County, Colorado","24018","null","81","null",
"0500000US08047","Gilpin County, Colorado","3510","null","241","null",
"0500000US08049","Grand County, Colorado","16591","null","58","null",
"0500000US08051","Gunnison County, Colorado","12006","null","79","null",
"0500000US08053","Hinsdale County, Colorado","1449","null","83","null",
"0500000US08055","Huerfano County, Colorado","4731","null","43","null",
"0500000US08057","Jackson County, Colorado","1221","null","79","null",
"0500000US08059","Jefferson County, Colorado","246426","null","246","null",
"0500000US08061","Kiowa County, Colorado","714","null","77","null",
"0500000US08063","Kit Carson County, Colorado","3427","null","35","null",
"0500000US08065","Lake County, Colorado","4122","null","298","null",
"0500000US08067","La Plata County, Colorado","27858","null","120","null",
"0500000US08069","Larimer County, Colorado","156030","null","441","null",
"0500000US08071","Las Animas County, Colorado","8114","null","81","null",
"0500000US08073","Lincoln County, Colorado","2221","null","194","null",
"0500000US08075","Logan County, Colorado","8704","null","114","null",
"0500000US08077","Mesa County, Colorado","66608","null","239","null",
"0500000US08079","Mineral County, Colorado","1272","null","71","null",
"0500000US08081","Moffat County, Colorado","6091","null","36","null",
"0500000US08083","Montezuma County, Colorado","12212","null","46","null",
"0500000US08085","Montrose County, Colorado","18852","null","88","null",
"0500000US08087","Morgan County, Colorado","11474","null","68","null",
"0500000US08089","Otero County, Colorado","8746","null","69","null",
"0500000US08091","Ouray County, Colorado","3158","null","169","null",
"0500000US08093","Park County, Colorado","14049","null","47","null",
"0500000US08095","Phillips County, Colorado","2033","null","172","null",
"0500000US08097","Pitkin County, Colorado","13261","null","32","null",
"0500000US08099","Prowers County, Colorado","5508","null","50","null",
"0500000US08101","Pueblo County, Colorado","71821","null","319","null",
"0500000US08103","Rio Blanco County, Colorado","3277","null","39","null",
"0500000US08105","Rio Grande County, Colorado","6547","null","39","null",
"0500000US08107","Routt County, Colorado","16492","null","54","null",
"0500000US08109","Saguache County, Colorado","3695","null","46","null",
"0500000US08111","San Juan County, Colorado","719","null","59","null",
"0500000US08113","San Miguel County, Colorado","6547","null","23","null",
"0500000US08115","Sedgwick County, Colorado","1207","null","100","null",
"0500000US08117","Summit County, Colorado","31182","null","52","null",
"0500000US08119","Teller County, Colorado","13271","null","36","null",
"0500000US08121","Washington County, Colorado","2287","null","62","null",
"0500000US08123","Weld County, Colorado","115854","null","218","null",
"0500000US08125","Yuma County, Colorado","4311","null","31","null",
"0500000US09001","Fairfield County, Connecticut","377249","null","376","null",
"0500000US09003","Hartford County, Connecticut","384270","null","489","null",
"0500000US09005","Litchfield County, Connecticut","87660","null","168","null",
"0500000US09007","Middlesex County, Connecticut","76287","null","243","null",
"0500000US09009","New Haven County, Connecticut","368720","null","511","null",
"0500000US09011","New London County, Connecticut","122664","null","338","null",
"0500000US09013","Tolland County, Connecticut","60638","null","330","null",
"0500000US09015","Windham County, Connecticut","49551","null","227","null",
"0500000US10001","Kent County, Delaware","72211","null","197","null",
"0500000US10003","New Castle County, Delaware","232162","null","258","null",
"0500000US10005","Sussex County, Delaware","140731","null","156","null",
"0500000US11001","District of Columbia, District of Columbia","344306","null","143","null",
"0500000US12001","Alachua County, Florida","121832","null","470","null",
"0500000US12003","Baker County, Florida","9772","null","165","null",
"0500000US12005","Bay County, Florida","102883","null","180","null",
"0500000US12007","Bradford County, Florida","10753","null","311","null",
"0500000US12009","Brevard County, Florida","286497","null","338","null",
"0500000US12011","Broward County, Florida","854965","null","426","null",
"0500000US12013","Calhoun County, Florida","5704","null","145","null",
"0500000US12015","Charlotte County, Florida","108667","null","421","null",
"0500000US12017","Citrus County, Florida","81099","null","186","null",
"0500000US12019","Clay County, Florida","84159","null","106","null",
"0500000US12021","Collier County, Florida","225093","null","264","null",
"0500000US12023","Columbia County, Florida","29631","null","178","null",
"0500000US12027","DeSoto County, Florida","15453","null","337","null",
"0500000US12029","Dixie County, Florida","9287","null","87","null",
"0500000US12031","Duval County, Florida","429495","null","825","null",
"0500000US12033","Escambia County, Florida","144698","null","342","null",
"0500000US12035","Flagler County, Florida","54554","null","90","null",
"0500000US12037","Franklin County, Florida","8375","null","102","null",
"0500000US12039","Gadsden County, Florida","18709","null","183","null",
"0500000US12041","Gilchrist County, Florida","7479","null","72","null",
"0500000US12043","Glades County, Florida","6542","null","242","null",
"0500000US12045","Gulf County, Florida","8884","null","433","null",
"0500000US12047","Hamilton County, Florida","5627","null","213","null",
"0500000US12049","Hardee County, Florida","9775","null","118","null",
"0500000US12051","Hendry County, Florida","14943","null","254","null",
"0500000US12053","Hernando County, Florida","88431","null","125","null",
"0500000US12055","Highlands County, Florida","57206","null","152","null",
"0500000US12057","Hillsborough County, Florida","595841","null","545","null",
"0500000US12059","Holmes County, Florida","8639","null","131","null",
"0500000US12061","Indian River County, Florida","82555","null","134","null",
"0500000US12063","Jackson County, Florida","20047","null","285","null",
"0500000US12065","Jefferson County, Florida","6685","null","121","null",
"0500000US12067","Lafayette County, Florida","3406","null","219","null",
"0500000US12069","Lake County, Florida","173636","null","201","null",
"0500000US12071","Lee County, Florida","410239","null","461","null",
"0500000US12073","Leon County, Florida","132398","null","436","null",
"0500000US12075","Levy County, Florida","20743","null","84","null",
"0500000US12077","Liberty County, Florida","3100","null","239","null",
"0500000US12079","Madison County, Florida","8345","null","116","null",
"0500000US12081","Manatee County, Florida","202950","null","255","null",
"0500000US12083","Marion County, Florida","175486","null","275","null",
"0500000US12085","Martin County, Florida","81069","null","202","null",
"0500000US12086","Miami-Dade County, Florida","1064991","null","576","null",
"0500000US12087","Monroe County, Florida","53699","null","175","null",
"0500000US12089","Nassau County, Florida","40787","null","83","null",
"0500000US12091","Okaloosa County, Florida","100401","null","266","null",
"0500000US12093","Okeechobee County, Florida","18465","null","275","null",
"0500000US12095","Orange County, Florida","554517","null","859","null",
"0500000US12097","Osceola County, Florida","150567","null","162","null",
"0500000US12099","Palm Beach County, Florida","702877","null","528","null",
"0500000US12101","Pasco County, Florida","253685","null","371","null",
"0500000US12103","Pinellas County, Florida","514666","null","545","null",
"0500000US12105","Polk County, Florida","311599","null","379","null",
"0500000US12107","Putnam County, Florida","36133","null","139","null",
"0500000US12109","St. Johns County, Florida","115442","null","189","null",
"0500000US12111","St. Lucie County, Florida","146077","null","234","null",
"0500000US12113","Santa Rosa County, Florida","74878","null","274","null",
"0500000US12115","Sarasota County, Florida","249418","null","224","null",
"0500000US12117","Seminole County, Florida","192725","null","223","null",
"0500000US12119","Sumter County, Florida","73998","null","315","null",
"0500000US12121","Suwannee County, Florida","18891","null","101","null",
"0500000US12123","Taylor County, Florida","11078","null","159","null",
"0500000US12125","Union County, Florida","4678","null","240","null",
"0500000US12127","Volusia County, Florida","270402","null","395","null",
"0500000US12129","Wakulla County, Florida","13537","null","153","null",
"0500000US12131","Walton County, Florida","54894","null","210","null",
"0500000US12133","Washington County, Florida","10840","null","151","null",
"0500000US13001","Appling County, Georgia","8492","null","55","null",
"0500000US13003","Atkinson County, Georgia","3475","null","28","null",
"0500000US13005","Bacon County, Georgia","4803","null","58","null",
"0500000US13007","Baker County, Georgia","1531","null","153","null",
"0500000US13009","Baldwin County, Georgia","20022","null","232","null",
"0500000US13011","Banks County, Georgia","7237","null","44","null",
"0500000US13013","Barrow County, Georgia","29530","null","92","null",
"0500000US13015","Bartow County, Georgia","41946","null","86","null",
"0500000US13017","Ben Hill County, Georgia","8102","null","60","null",
"0500000US13019","Berrien County, Georgia","8082","null","43","null",
"0500000US13021","Bibb County, Georgia","71725","null","276","null",
"0500000US13023","Bleckley County, Georgia","5201","null","119","null",
"0500000US13025","Brantley County, Georgia","8133","null","30","null",
"0500000US13027","Brooks County, Georgia","7343","null","54","null",
"0500000US13029","Bryan County, Georgia","16137","null","36","null",
"0500000US13031","Bulloch County, Georgia","32570","null","811","null",
"0500000US13033","Burke County, Georgia","10980","null","42","null",
"0500000US13035","Butts County, Georgia","9436","null","309","null",
"0500000US13037","Calhoun County, Georgia","2066","null","89","null",
"0500000US13039","Camden County, Georgia","22393","null","127","null",
"0500000US13043","Candler County, Georgia","4636","null","33","null",
"0500000US13045","Carroll County, Georgia","45906","null","165","null",
"0500000US13047","Catoosa County, Georgia","27808","null","71","null",
"0500000US13049","Charlton County, Georgia","4633","null","116","null",
"0500000US13051","Chatham County, Georgia","132487","null","387","null",
"0500000US13053","Chattahoochee County, Georgia","3262","null","340","null",
"0500000US13055","Chattooga County, Georgia","10850","null","107","null",
"0500000US13057","Cherokee County, Georgia","98431","null","157","null",
"0500000US13059","Clarke County, Georgia","55088","null","562","null",
"0500000US13061","Clay County, Georgia","2035","null","159","null",
"0500000US13063","Clayton County, Georgia","112772","null","264","null",
"0500000US13065","Clinch County, Georgia","3019","null","223","null",
"0500000US13067","Cobb County, Georgia","306434","null","435","null",
"0500000US13069","Coffee County, Georgia","17301","null","154","null",
"0500000US13071","Colquitt County, Georgia","19039","null","134","null",
"0500000US13073","Columbia County, Georgia","58011","null","107","null",
"0500000US13075","Cook County, Georgia","7256","null","42","null",
"0500000US13077","Coweta County, Georgia","55975","null","83","null",
"0500000US13079","Crawford County, Georgia","5178","null","30","null",
"0500000US13081","Crisp County, Georgia","9964","null","67","null",
"0500000US13083","Dade County, Georgia","7371","null","143","null",
"0500000US13085","Dawson County, Georgia","11731","null","35","null",
"0500000US13087","Decatur County, Georgia","12915","null","82","null",
"0500000US13089","DeKalb County, Georgia","323092","null","424","null",
"0500000US13091","Dodge County, Georgia","8664","null","284","null",
"0500000US13093","Dooly County, Georgia","4927","null","203","null",
"0500000US13095","Dougherty County, Georgia","40590","null","458","null",
"0500000US13097","Douglas County, Georgia","53653","null","119","null",
"0500000US13099","Early County, Georgia","4936","null","54","null",
"0500000US13101","Echols County, Georgia","1659","null","173","null",
"0500000US13103","Effingham County, Georgia","23908","null","67","null",
"0500000US13105","Elbert County, Georgia","9288","null","31","null",
"0500000US13107","Emanuel County, Georgia","9959","null","88","null",
"0500000US13109","Evans County, Georgia","4641","null","62","null",
"0500000US13111","Fannin County, Georgia","17508","null","44","null",
"0500000US13113","Fayette County, Georgia","44699","null","91","null",
"0500000US13115","Floyd County, Georgia","40470","null","260","null",
"0500000US13117","Forsyth County, Georgia","85632","null","111","null",
"0500000US13119","Franklin County, Georgia","10581","null","77","null",
"0500000US13121","Fulton County, Georgia","487896","null","1056","null",
"0500000US13123","Gilmer County, Georgia","17593","null","58","null",
"0500000US13125","Glascock County, Georgia","1416","null","23","null",
"0500000US13127","Glynn County, Georgia","42091","null","156","null",
"0500000US13129","Gordon County, Georgia","22645","null","63","null",
"0500000US13131","Grady County, Georgia","11447","null","42","null",
"0500000US13133","Greene County, Georgia","9805","null","31","null",
"0500000US13135","Gwinnett County, Georgia","326458","null","202","null",
"0500000US13137","Habersham County, Georgia","18279","null","280","null",
"0500000US13139","Hall County, Georgia","75797","null","95","null",
"0500000US13141","Hancock County, Georgia","4947","null","434","null",
"0500000US13143","Haralson County, Georgia","12280","null","53","null",
"0500000US13145","Harris County, Georgia","14126","null","80","null",
"0500000US13147","Hart County, Georgia","12786","null","79","null",
"0500000US13149","Heard County, Georgia","4795","null","30","null",
"0500000US13151","Henry County, Georgia","85223","null","92","null",
"0500000US13153","Houston County, Georgia","65671","null","122","null",
"0500000US13155","Irwin County, Georgia","4141","null","123","null",
"0500000US13157","Jackson County, Georgia","27137","null","91","null",
"0500000US13159","Jasper County, Georgia","6275","null","33","null",
"0500000US13161","Jeff Davis County, Georgia","6368","null","20","null",
"0500000US13163","Jefferson County, Georgia","7168","null","61","null",
"0500000US13165","Jenkins County, Georgia","4327","null","325","null",
"0500000US13167","Johnson County, Georgia","3602","null","292","null",
"0500000US13169","Jones County, Georgia","11596","null","37","null",
"0500000US13171","Lamar County, Georgia","7545","null","107","null",
"0500000US13173","Lanier County, Georgia","4109","null","35","null",
"0500000US13175","Laurens County, Georgia","21885","null","102","null",
"0500000US13177","Lee County, Georgia","12445","null","97","null",
