"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"1600000US0103940","Banks town, Alabama","249","null","124","null",
"1600000US0104660","Bay Minette city, Alabama","7824","null","23","null",
"1600000US0104684","Bayou La Batre city, Alabama","2520","null","545","null",
"1600000US0104852","Bear Creek town, Alabama","1574","null","485","null",
"1600000US0104900","Beatrice town, Alabama","179","null","86","null",
"1600000US0104948","Beaverton town, Alabama","166","null","73","null",
"1600000US0105140","Belgreen CDP, Alabama","42","null","37","null",
"1600000US0105164","Belk town, Alabama","384","null","147","null",
"1600000US0105188","Bellamy CDP, Alabama","126","null","104","null",
"1600000US0105212","Belle Fontaine CDP, Alabama","739","null","291","null",
"1600000US0105692","Benton town, Alabama","50","null","34","null",
"1600000US0105812","Berlin town, Alabama","639","null","269","null",
"1600000US0105932","Berry town, Alabama","994","null","229","null",
"1600000US0105980","Bessemer city, Alabama","26171","null","66","null",
"1600000US0106460","Billingsley town, Alabama","133","null","88","null",
"1600000US0107000","Birmingham city, Alabama","202234","null","625","null",
"1600000US0107120","Black town, Alabama","395","null","272","null",
"1600000US0107456","Blountsville town, Alabama","1887","null","456","null",
"1600000US0107588","Blue Ridge CDP, Alabama","1442","null","307","null",
"1600000US0107672","Blue Springs town, Alabama","85","null","41","null",
"1600000US0107912","Boaz city, Alabama","10091","null","547","null",
"1600000US0108104","Boligee town, Alabama","242","null","119","null",
"1600000US0108248","Bon Air town, Alabama","81","null","53","null",
"1600000US0108272","Bon Secour CDP, Alabama","2500","null","1351","null",
"1600000US0108680","Boykin CDP, Alabama","330","null","188","null",
"1600000US0109016","Brantley town, Alabama","966","null","228","null",
"1600000US0109064","Brantleyville CDP, Alabama","871","null","242","null",
"1600000US0109136","Brent city, Alabama","3214","null","18","null",
"1600000US0109208","Brewton city, Alabama","5288","null","22","null",
"1600000US0109328","Bridgeport city, Alabama","2316","null","381","null",
"1600000US0109400","Brighton city, Alabama","2904","null","592","null",
"1600000US0109424","Brilliant town, Alabama","1173","null","316","null",
"1600000US0109457","Bristow Cove CDP, Alabama","485","null","258","null",
"1600000US0109500","Brook Highland CDP, Alabama","7754","null","663","null",
"1600000US0109736","Brookside town, Alabama","1252","null","325","null",
"1600000US0109808","Brookwood town, Alabama","2406","null","429","null",
"1600000US0109880","Broomtown CDP, Alabama","228","null","119","null",
"1600000US0110240","Brundidge city, Alabama","2293","null","407","null",
"1600000US0110456","Bucks CDP, Alabama","13","null","21","null",
"1600000US0111032","Butler town, Alabama","2385","null","392","null",
"1600000US0111416","Calera city, Alabama","16126","null","57","null",
"1600000US0111488","Calvert CDP, Alabama","70","null","108","null",
"1600000US0111512","Camden city, Alabama","2128","null","502","null",
"1600000US0111680","Camp Hill town, Alabama","1324","null","318","null",
"1600000US0112016","Carbon Hill city, Alabama","1522","null","326","null",
"1600000US0112040","Cardiff town, Alabama","24","null","21","null",
"1600000US0112070","Carlisle-Rockledge CDP, Alabama","2472","null","503","null",
"1600000US0112112","Carlton CDP, Alabama","54","null","57","null",
"1600000US0112160","Carolina town, Alabama","255","null","81","null",
"1600000US0112304","Carrollton town, Alabama","1100","null","278","null",
"1600000US0112496","Castleberry town, Alabama","401","null","182","null",
"1600000US0112544","Catherine CDP, Alabama","0","null","13","null",
"1600000US0112760","Cedar Bluff town, Alabama","1700","null","325","null",
"1600000US0113264","Center Point city, Alabama","16422","null","32","null",
"1600000US0113648","Centre city, Alabama","3497","null","22","null",
"1600000US0113672","Centreville city, Alabama","2789","null","16","null",
"1600000US0114008","Chatom town, Alabama","789","null","251","null",
"1600000US0114104","Chelsea city, Alabama","14710","null","43","null",
"1600000US0114152","Cherokee town, Alabama","911","null","270","null",
"1600000US0114392","Chickasaw city, Alabama","6421","null","39","null",
"1600000US0114464","Childersburg city, Alabama","4768","null","26","null",
"1600000US0114728","Choccolocco CDP, Alabama","2843","null","594","null",
"1600000US0114968","Chunchula CDP, Alabama","241","null","171","null",
"1600000US0115064","Citronelle city, Alabama","3940","null","20","null",
"1600000US0115136","Clanton city, Alabama","8715","null","23","null",
"1600000US0115256","Clay city, Alabama","10320","null","51","null",
"1600000US0115304","Clayhatchee town, Alabama","637","null","217","null",
"1600000US0115376","Clayton town, Alabama","2512","null","303","null",
"1600000US0115472","Cleveland town, Alabama","1291","null","253","null",
"1600000US0115640","Clio city, Alabama","1195","null","281","null",
"1600000US0116000","Coaling town, Alabama","2112","null","548","null",
"1600000US0116080","Coats Bend CDP, Alabama","1119","null","284","null",
"1600000US0116240","Coffee Springs town, Alabama","197","null","97","null",
"1600000US0116264","Coffeeville town, Alabama","240","null","103","null",
"1600000US0116312","Coker town, Alabama","1068","null","364","null",
"1600000US0116600","Collinsville town, Alabama","2044","null","556","null",
"1600000US0116684","Colony town, Alabama","312","null","105","null",
"1600000US0116744","Columbia town, Alabama","876","null","386","null",
"1600000US0116768","Columbiana city, Alabama","4197","null","26","null",
"1600000US0116936","Concord CDP, Alabama","1641","null","418","null",
"1600000US0117176","Coosada town, Alabama","1074","null","226","null",
"1600000US0117368","Cordova city, Alabama","1709","null","336","null",
"1600000US0117704","Cottondale CDP, Alabama","3793","null","888","null",
"1600000US0117824","Cottonwood town, Alabama","1155","null","196","null",
"1600000US0117968","County Line town, Alabama","247","null","132","null",
"1600000US0118040","Courtland town, Alabama","846","null","323","null",
"1600000US0118088","Cowarts town, Alabama","2196","null","299","null",
"1600000US0118304","Creola city, Alabama","2764","null","530","null",
"1600000US0118856","Crossville town, Alabama","1920","null","331","null",
"1600000US0118952","Cuba town, Alabama","378","null","139","null",
"1600000US0118976","Cullman city, Alabama","17892","null","26","null",
"1600000US0119024","Cullomburg CDP, Alabama","263","null","171","null",
"1600000US0119216","Cusseta town, Alabama","101","null","72","null",
"1600000US0119336","Dadeville city, Alabama","3051","null","16","null",
"1600000US0119360","Daleville city, Alabama","4912","null","16","null",
"1600000US0119648","Daphne city, Alabama","27088","null","35","null",
"1600000US0119744","Dauphin Island town, Alabama","1771","null","371","null",
"1600000US0119816","Daviston town, Alabama","253","null","105","null",
"1600000US0119912","Dayton town, Alabama","67","null","90","null",
"1600000US0120008","Deatsville town, Alabama","2114","null","567","null",
"1600000US0120104","Decatur city, Alabama","57303","null","71","null",
"1600000US0120152","Deer Park CDP, Alabama","63","null","72","null",
"1600000US0120272","Delta CDP, Alabama","158","null","154","null",
"1600000US0120296","Demopolis city, Alabama","7134","null","255","null",
"1600000US0120392","Detroit town, Alabama","261","null","104","null",
"1600000US0120955","Dodge City town, Alabama","660","null","208","null",
"1600000US0121136","Dora city, Alabama","2725","null","514","null",
"1600000US0121184","Dothan city, Alabama","70318","null","418","null",
"1600000US0121280","Double Springs town, Alabama","1753","null","423","null",
"1600000US0121328","Douglas town, Alabama","1007","null","251","null",
"1600000US0121448","Dozier town, Alabama","450","null","284","null",
"1600000US0121890","Dunnavant CDP, Alabama","1184","null","390","null",
"1600000US0121952","Dutton town, Alabama","423","null","137","null",
"1600000US0122088","Eagle Point CDP, Alabama","2794","null","336","null",
"1600000US0122216","East Brewton city, Alabama","3131","null","698","null",
"1600000US0122504","East Point CDP, Alabama","351","null","336","null",
"1600000US0122816","Eclectic town, Alabama","1274","null","343","null",
"1600000US0123032","Edgewater CDP, Alabama","836","null","507","null",
"1600000US0123176","Edwardsville town, Alabama","183","null","119","null",
"1600000US0123224","Egypt CDP, Alabama","1107","null","412","null",
"1600000US0123296","Elba city, Alabama","3449","null","25","null",
"1600000US0123320","Elberta town, Alabama","2302","null","559","null",
"1600000US0123344","Eldridge town, Alabama","141","null","53","null",
"1600000US0123488","Elkmont town, Alabama","373","null","128","null",
"1600000US0123656","Elmore town, Alabama","1572","null","373","null",
"1600000US0123872","Emelle town, Alabama","66","null","65","null",
"1600000US0123880","Emerald Mountain CDP, Alabama","3456","null","964","null",
"1600000US0124184","Enterprise city, Alabama","28242","null","194","null",
"1600000US0124256","Epes town, Alabama","465","null","263","null",
"1600000US0124280","Equality CDP, Alabama","67","null","69","null",
"1600000US0124472","Ethelsville town, Alabama","105","null","66","null",
"1600000US0124568","Eufaula city, Alabama","12753","null","32","null",
"1600000US0124616","Eunola CDP, Alabama","137","null","124","null",
"1600000US0124664","Eutaw town, Alabama","2890","null","12","null",
"1600000US0124688","Eva town, Alabama","583","null","210","null",
"1600000US0124808","Evergreen city, Alabama","3504","null","13","null",
"1600000US0124880","Excel town, Alabama","539","null","209","null",
"1600000US0125120","Fairfield city, Alabama","10108","null","26","null",
"1600000US0125216","Fairford CDP, Alabama","171","null","152","null",
"1600000US0125240","Fairhope city, Alabama","21825","null","48","null",
"1600000US0125384","Fairview town, Alabama","717","null","297","null",
"1600000US0125648","Falkville town, Alabama","1347","null","328","null",
"1600000US0125816","Faunsdale town, Alabama","106","null","92","null",
"1600000US0125840","Fayette city, Alabama","4271","null","18","null",
"1600000US0125864","Fayetteville CDP, Alabama","1329","null","382","null",
"1600000US0126152","Fitzpatrick CDP, Alabama","0","null","13","null",
"1600000US0126200","Five Points town, Alabama","121","null","94","null",
"1600000US0126824","Flomaton town, Alabama","1728","null","411","null",
"1600000US0126848","Florala town, Alabama","1779","null","472","null",
"1600000US0126896","Florence city, Alabama","39709","null","46","null",
"1600000US0126992","Foley city, Alabama","20170","null","27","null",
"1600000US0127088","Forestdale CDP, Alabama","9251","null","901","null",
"1600000US0127376","Forkland town, Alabama","886","null","412","null",
"1600000US0127520","Fort Deposit town, Alabama","1899","null","377","null",
"1600000US0127616","Fort Payne city, Alabama","14730","null","32","null",
"1600000US0127640","Fort Rucker CDP, Alabama","5912","null","508","null",
"1600000US0128024","Franklin town, Alabama","841","null","239","null",
"1600000US0128120","Fredonia CDP, Alabama","277","null","212","null",
"1600000US0128312","Frisco City town, Alabama","1668","null","456","null",
"1600000US0128408","Fruitdale CDP, Alabama","197","null","149","null",
"1600000US0128432","Fruithurst town, Alabama","403","null","319","null",
"1600000US0128504","Fulton town, Alabama","446","null","249","null",
"1600000US0128552","Fultondale city, Alabama","9707","null","26","null",
"1600000US0128672","Fyffe town, Alabama","1327","null","451","null",
"1600000US0128696","Gadsden city, Alabama","34317","null","31","null",
"1600000US0128768","Gainesville town, Alabama","236","null","164","null",
"1600000US0128816","Gallant CDP, Alabama","835","null","338","null",
"1600000US0128936","Gantt town, Alabama","143","null","78","null",
"1600000US0129032","Garden City town, Alabama","622","null","198","null",
"1600000US0129056","Gardendale city, Alabama","15920","null","24","null",
"1600000US0129296","Gaylesville town, Alabama","288","null","143","null",
"1600000US0129392","Geiger town, Alabama","383","null","136","null",
"1600000US0129464","Geneva city, Alabama","4208","null","17","null",
"1600000US0129560","Georgiana town, Alabama","1374","null","390","null",
"1600000US0129608","Geraldine town, Alabama","1266","null","375","null",
"1600000US0129704","Gilbertown town, Alabama","666","null","216","null",
"1600000US0129944","Glen Allen town, Alabama","455","null","198","null",
"1600000US0129992","Glencoe city, Alabama","5360","null","24","null",
"1600000US0130160","Glenwood town, Alabama","221","null","92","null",
"1600000US0130448","Goldville town, Alabama","74","null","40","null",
"1600000US0130496","Good Hope city, Alabama","2463","null","37","null",
"1600000US0130640","Goodwater town, Alabama","1172","null","336","null",
"1600000US0130736","Gordo town, Alabama","1599","null","353","null",
"1600000US0130760","Gordon town, Alabama","287","null","116","null",
"1600000US0130808","Gordonville town, Alabama","326","null","156","null",
"1600000US0130880","Goshen town, Alabama","352","null","149","null",
"1600000US0131000","Graham CDP, Alabama","89","null","81","null",
"1600000US0131024","Grand Bay CDP, Alabama","3433","null","493","null",
"1600000US0131096","Grant town, Alabama","1524","null","473","null",
"1600000US0131348","Grayson Valley CDP, Alabama","6037","null","1330","null",
"1600000US0131384","Graysville city, Alabama","2723","null","615","null",
"1600000US0131720","Greensboro city, Alabama","2484","null","511","null",
"1600000US0131912","Greenville city, Alabama","7395","null","23","null",
"1600000US0132056","Grimes town, Alabama","589","null","181","null",
"1600000US0132080","Grove Hill town, Alabama","2069","null","473","null",
"1600000US0132224","Guin city, Alabama","2490","null","458","null",
"1600000US0132248","Gulfcrest CDP, Alabama","136","null","155","null",
"1600000US0132272","Gulf Shores city, Alabama","14712","null","30","null",
"1600000US0132416","Guntersville city, Alabama","8559","null","33","null",
"1600000US0132440","Gurley town, Alabama","601","null","148","null",
"1600000US0132536","Gu-Win town, Alabama","144","null","65","null",
"1600000US0132560","Hackleburg town, Alabama","1463","null","364","null",
"1600000US0132584","Hackneyville CDP, Alabama","524","null","260","null",
"1600000US0132656","Haleburg town, Alabama","116","null","54","null",
"1600000US0132704","Haleyville city, Alabama","4343","null","81","null",
"1600000US0132848","Hamilton city, Alabama","6974","null","20","null",
"1600000US0132896","Hammondville town, Alabama","393","null","95","null",
"1600000US0132968","Hanceville city, Alabama","3174","null","21","null",
"1600000US0133064","Hanover CDP, Alabama","61","null","75","null",
"1600000US0133256","Harpersville town, Alabama","1589","null","378","null",
"1600000US0133424","Hartford city, Alabama","2630","null","21","null",
"1600000US0133448","Hartselle city, Alabama","15308","null","33","null",
"1600000US0133472","Harvest CDP, Alabama","6655","null","1001","null",
"1600000US0133544","Hatton CDP, Alabama","451","null","357","null",
"1600000US0133640","Hayden town, Alabama","1441","null","466","null",
"1600000US0133712","Hayneville town, Alabama","1027","null","316","null",
"1600000US0133808","Hazel Green CDP, Alabama","3811","null","554","null",
"1600000US0133856","Headland city, Alabama","4941","null","22","null",
"1600000US0133904","Heath town, Alabama","274","null","121","null",
"1600000US0133976","Heflin city, Alabama","3416","null","23","null",
"1600000US0134024","Helena city, Alabama","20680","null","38","null",
"1600000US0134096","Henagar city, Alabama","2436","null","530","null",
"1600000US0134480","Highland Lake town, Alabama","413","null","104","null",
"1600000US0134490","Highland Lakes CDP, Alabama","6137","null","801","null",
"1600000US0134816","Hillsboro town, Alabama","678","null","206","null",
"1600000US0134984","Hissop CDP, Alabama","208","null","209","null",
"1600000US0135130","Hobson CDP, Alabama","197","null","125","null",
"1600000US0135152","Hobson City town, Alabama","947","null","420","null",
"1600000US0135200","Hodges town, Alabama","377","null","205","null",
"1600000US0135392","Hokes Bluff city, Alabama","4402","null","16","null",
"1600000US0135512","Hollins CDP, Alabama","758","null","330","null",
"1600000US0135536","Hollis Crossroads CDP, Alabama","676","null","235","null",
"1600000US0135560","Holly Pond town, Alabama","819","null","168","null",
"1600000US0135632","Hollywood town, Alabama","950","null","233","null",
"1600000US0135704","Holt CDP, Alabama","4793","null","1103","null",
"1600000US0135752","Holtville CDP, Alabama","4970","null","825","null",
"1600000US0135800","Homewood city, Alabama","26206","null","35","null",
"1600000US0135896","Hoover city, Alabama","91371","null","97","null",
"1600000US0136088","Horn Hill town, Alabama","291","null","102","null",
"1600000US0136448","Hueytown city, Alabama","16694","null","39","null",
"1600000US0136592","Huguley CDP, Alabama","3017","null","473","null",
"1600000US0137000","Huntsville city, Alabama","210081","null","73","null",
"1600000US0137096","Hurtsboro town, Alabama","429","null","144","null",
"1600000US0137264","Hytop town, Alabama","528","null","162","null",
"1600000US0137312","Ider town, Alabama","604","null","135","null",
"1600000US0137465","Indian Springs Village city, Alabama","2563","null","379","null",
"1600000US0137864","Irondale city, Alabama","13457","null","37","null",
"1600000US0138032","Ivalee CDP, Alabama","606","null","231","null",
"1600000US0138152","Jackson city, Alabama","4774","null","20","null",
"1600000US0138248","Jacksons' Gap town, Alabama","707","null","202","null",
"1600000US0138272","Jacksonville city, Alabama","13076","null","58","null",
"1600000US0138416","Jasper city, Alabama","14370","null","50","null",
"1600000US0138608","Jemison city, Alabama","2631","null","26","null",
"1600000US0139064","Joppa CDP, Alabama","681","null","297","null",
"1600000US0139280","Kansas town, Alabama","96","null","41","null",
"1600000US0139472","Kellyton town, Alabama","126","null","66","null",
"1600000US0139520","Kennedy town, Alabama","383","null","144","null",
"1600000US0139784","Killen town, Alabama","1209","null","359","null",
"1600000US0139856","Kimberly city, Alabama","3792","null","30","null",
"1600000US0140072","Kinsey town, Alabama","2364","null","340","null",
"1600000US0140096","Kinston town, Alabama","793","null","253","null",
"1600000US0140648","Ladonia CDP, Alabama","3657","null","799","null",
"1600000US0140672","La Fayette city, Alabama","2666","null","19","null",
"1600000US0140888","Lakeview town, Alabama","137","null","91","null",
"1600000US0140928","Lake View town, Alabama","3357","null","154","null",
"1600000US0141296","Lanett city, Alabama","6821","null","25","null",
"1600000US0141368","Langston town, Alabama","218","null","76","null",
"1600000US0141968","Leeds city, Alabama","12385","null","509","null",
"1600000US0142016","Leesburg town, Alabama","697","null","217","null",
"1600000US0142160","Leighton town, Alabama","687","null","281","null",
"1600000US0142304","Leroy CDP, Alabama","885","null","329","null",
"1600000US0142352","Lester town, Alabama","167","null","74","null",
"1600000US0142472","Level Plains town, Alabama","1826","null","372","null",
"1600000US0142640","Lexington town, Alabama","940","null","260","null",
"1600000US0142808","Libertyville town, Alabama","70","null","39","null",
"1600000US0142928","Lillian CDP, Alabama","2114","null","787","null",
"1600000US0143120","Lincoln city, Alabama","6836","null","65","null",
"1600000US0143240","Linden city, Alabama","1981","null","372","null",
"1600000US0143264","Lineville city, Alabama","2598","null","461","null",
"1600000US0143336","Lipscomb city, Alabama","2113","null","561","null",
"1600000US0143384","Lisman town, Alabama","499","null","198","null",
"1600000US0143648","Littleville town, Alabama","873","null","215","null",
"1600000US0143720","Livingston city, Alabama","3227","null","11","null",
"1600000US0143744","Loachapoka town, Alabama","207","null","87","null",
"1600000US0143816","Lockhart town, Alabama","264","null","97","null",
"1600000US0143888","Locust Fork town, Alabama","1532","null","363","null",
"1600000US0144160","Lookout Mountain CDP, Alabama","1427","null","295","null",
"1600000US0144344","Louisville town, Alabama","562","null","177","null",
"1600000US0144536","Lowndesboro town, Alabama","113","null","70","null",
"1600000US0144608","Loxley town, Alabama","3566","null","23","null",
"1600000US0144728","Luverne city, Alabama","2716","null","31","null",
"1600000US0144800","Lynn town, Alabama","811","null","222","null",
"1600000US0145040","McCalla CDP, Alabama","13221","null","1561","null",
"1600000US0145208","McDonald Chapel CDP, Alabama","636","null","502","null",
"1600000US0145316","Macedonia CDP, Alabama","176","null","108","null",
"1600000US0145472","McIntosh town, Alabama","455","null","232","null",
"1600000US0145496","McKenzie town, Alabama","917","null","233","null",
"1600000US0145640","McMullen town, Alabama","16","null","19","null",
"1600000US0145784","Madison city, Alabama","55551","null","53","null",
"1600000US0145904","Madrid town, Alabama","278","null","76","null",
"1600000US0146072","Magnolia Springs town, Alabama","1443","null","477","null",
"1600000US0146192","Malcolm CDP, Alabama","88","null","111","null",
"1600000US0146264","Malvern town, Alabama","1711","null","348","null",
"1600000US0146504","Maplesville town, Alabama","673","null","235","null",
"1600000US0146600","Marbury CDP, Alabama","1893","null","740","null",
"1600000US0146696","Margaret town, Alabama","5118","null","18","null",
"1600000US0146768","Marion city, Alabama","3273","null","11","null",
"1600000US0147728","Maytown town, Alabama","257","null","82","null",
"1600000US0147740","Meadowbrook CDP, Alabama","9503","null","883","null",
"1600000US0147848","Megargel CDP, Alabama","0","null","13","null",
"1600000US0148052","Memphis town, Alabama","6","null","6","null",
"1600000US0148064","Mentone town, Alabama","340","null","106","null",
"1600000US0148112","Meridianville CDP, Alabama","8344","null","1003","null",
"1600000US0148376","Midfield city, Alabama","5219","null","27","null",
"1600000US0148400","Midland City town, Alabama","1901","null","343","null",
"1600000US0148424","Midway town, Alabama","568","null","197","null",
"1600000US0148616","Mignon CDP, Alabama","833","null","293","null",
"1600000US0148712","Millbrook city, Alabama","16675","null","238","null",
"1600000US0148784","Millerville CDP, Alabama","376","null","317","null",
"1600000US0148808","Millport town, Alabama","1181","null","421","null",
"1600000US0148832","Millry town, Alabama","620","null","229","null",
"1600000US0149072","Minor CDP, Alabama","1052","null","326","null",
"1600000US0150000","Mobile city, Alabama","187445","null","80","null",
"1600000US0150192","Monroeville city, Alabama","5953","null","18","null",
"1600000US0150312","Montevallo city, Alabama","6968","null","28","null",
"1600000US0151000","Montgomery city, Alabama","201022","null","44","null",
"1600000US0151096","Moody city, Alabama","13100","null","33","null",
"1600000US0151216","Moores Mill CDP, Alabama","5659","null","550","null",
"1600000US0151264","Mooresville town, Alabama","83","null","48","null",
"1600000US0151456","Morris town, Alabama","2248","null","485","null",
"1600000US0151469","Morrison Crossroads CDP, Alabama","130","null","88","null",
"1600000US0151520","Mosses town, Alabama","818","null","207","null",
"1600000US0151600","Moulton city, Alabama","3356","null","21","null",
"1600000US0151648","Moundville town, Alabama","2774","null","654","null",
"1600000US0151696","Mountain Brook city, Alabama","22184","null","35","null",
"1600000US0152320","Mount Olive CDP (Coosa County), Alabama","214","null","123","null",
"1600000US0152344","Mount Olive CDP (Jefferson County), Alabama","4178","null","766","null",
"1600000US0152608","Mount Vernon town, Alabama","1567","null","335","null",
"1600000US0152680","Movico CDP, Alabama","46","null","50","null",
"1600000US0152776","Mulga town, Alabama","682","null","124","null",
"1600000US0152848","Munford town, Alabama","1582","null","451","null",
"1600000US0153016","Muscle Shoals city, Alabama","15969","null","25","null",
"1600000US0153112","Myrtlewood town, Alabama","126","null","88","null",
"1600000US0153208","Nanafalia CDP, Alabama","54","null","48","null",
"1600000US0153232","Nances Creek CDP, Alabama","590","null","243","null",
"1600000US0153256","Napier Field town, Alabama","405","null","116","null",
"1600000US0153376","Natural Bridge town, Alabama","15","null","14","null",
"1600000US0153400","Nauvoo town, Alabama","185","null","74","null",
"1600000US0153448","Nectar town, Alabama","454","null","196","null",
"1600000US0153472","Needham town, Alabama","84","null","56","null",
"1600000US0153784","Newbern town, Alabama","275","null","130","null",
"1600000US0153856","New Brockton town, Alabama","1210","null","231","null",
"1600000US0154168","New Hope city, Alabama","2869","null","19","null",
"1600000US0154312","New Market CDP, Alabama","1006","null","435","null",
"1600000US0154432","New Site town, Alabama","830","null","212","null",
"1600000US0154480","Newton town, Alabama","1606","null","279","null",
"1600000US0154582","New Union CDP, Alabama","893","null","342","null",
"1600000US0154600","Newville town, Alabama","390","null","128","null",
"1600000US0154696","Nixburg CDP, Alabama","438","null","308","null",
"1600000US0155044","North Courtland town, Alabama","581","null","161","null",
"1600000US0155152","North Johns town, Alabama","160","null","79","null",
"1600000US0155200","Northport city, Alabama","30334","null","78","null",
"1600000US0155440","Notasulga town, Alabama","1082","null","323","null",
"1600000US0155752","Oak Grove town, Alabama","1123","null","439","null",
"1600000US0155848","Oak Hill town, Alabama","24","null","20","null",
"1600000US0155992","Oakman town, Alabama","814","null","323","null",
"1600000US0156400","Odenville city, Alabama","4800","null","36","null",
"1600000US0156472","Ohatchee town, Alabama","1161","null","249","null",
"1600000US0157000","Oneonta city, Alabama","6778","null","33","null",
"1600000US0157024","Onycha town, Alabama","139","null","70","null",
"1600000US0157048","Opelika city, Alabama","30810","null","48","null",
"1600000US0157120","Opp city, Alabama","6671","null","51","null",
"1600000US0157144","Orange Beach city, Alabama","7847","null","41","null",
"1600000US0157240","Orrville town, Alabama","139","null","63","null",
"1600000US0157384","Our Town CDP, Alabama","705","null","258","null",
"1600000US0157504","Owens Cross Roads town, Alabama","2484","null","22","null",
"1600000US0157576","Oxford city, Alabama","22210","null","35","null",
"1600000US0157648","Ozark city, Alabama","14396","null","52","null",
"1600000US0157696","Paint Rock town, Alabama","183","null","68","null",
"1600000US0157912","Panola CDP, Alabama","109","null","122","null",
"1600000US0158272","Parrish town, Alabama","1294","null","376","null",
"1600000US0158680","Pea Ridge CDP, Alabama","971","null","337","null",
"1600000US0158848","Pelham city, Alabama","24134","null","38","null",
"1600000US0158896","Pell City city, Alabama","12923","null","46","null",
"1600000US0158968","Pennington town, Alabama","604","null","230","null",
"1600000US0159016","Penton CDP, Alabama","77","null","101","null",
"1600000US0159064","Perdido CDP, Alabama","649","null","253","null",
"1600000US0159088","Perdido Beach town, Alabama","442","null","151","null",
"1600000US0159232","Peterman CDP, Alabama","35","null","30","null",
"1600000US0159328","Petrey town, Alabama","47","null","34","null",
"1600000US0159472","Phenix City city, Alabama","38216","null","49","null",
"1600000US0159496","Phil Campbell town, Alabama","725","null","238","null",
"1600000US0159592","Pickensville town, Alabama","790","null","218","null",
"1600000US0159640","Piedmont city, Alabama","4837","null","22","null",
"1600000US0159760","Pike Road town, Alabama","9193","null","53","null",
"1600000US0159832","Pinckard town, Alabama","666","null","150","null",
"1600000US0159880","Pine Apple town, Alabama","168","null","60","null",
"1600000US0160240","Pine Hill town, Alabama","865","null","238","null",
"1600000US0160264","Pine Level CDP, Alabama","3955","null","699","null",
"1600000US0160372","Pine Ridge town, Alabama","717","null","329","null",
"1600000US0160648","Pinson city, Alabama","7242","null","28","null",
"1600000US0160720","Pisgah town, Alabama","1134","null","442","null",
"1600000US0161008","Pleasant Grove city, Alabama","9638","null","40","null",
"1600000US0161038","Pleasant Groves town, Alabama","484","null","104","null",
"1600000US0161488","Point Clear CDP, Alabama","2043","null","514","null",
"1600000US0161536","Pollard town, Alabama","136","null","65","null",
"1600000US0162075","Powell town, Alabama","1029","null","268","null",
"1600000US0162328","Prattville city, Alabama","37977","null","584","null",
"1600000US0162472","Priceville town, Alabama","3479","null","29","null",
"1600000US0162496","Prichard city, Alabama","19645","null","67","null",
"1600000US0162688","Providence town, Alabama","88","null","36","null",
"1600000US0162952","Putnam CDP, Alabama","21","null","22","null",
"1600000US0163216","Ragland town, Alabama","1784","null","300","null",
"1600000US0163288","Rainbow City city, Alabama","10093","null","25","null",
"1600000US0163336","Rainsville city, Alabama","5466","null","22","null",
"1600000US0163408","Ranburne town, Alabama","560","null","184","null",
"1600000US0163495","Ray CDP, Alabama","399","null","175","null",
