USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CA|06077|0500000US06077|00277303|San Joaquin County|3606041616|88864241|1392.301|34.311|37.934982|-121.272244
CA|06079|0500000US06079|00277304|San Luis Obispo County|8549140854|815650229|3300.842|314.924|35.388189|-120.448897
CA|06081|0500000US06081|00277305|San Mateo County|1161875517|757208773|448.603|292.36|37.414672|-122.371546
CA|06083|0500000US06083|00277306|Santa Barbara County|7080874941|2729198795|2733.941|1053.75|34.536677|-120.038364
CA|06085|0500000US06085|00277307|Santa Clara County|3343891498|33597067|1291.084|12.972|37.221614|-121.68954
CA|06087|0500000US06087|00277308|Santa Cruz County|1152818085|419720203|445.106|162.055|37.012347|-122.007789
CA|06089|0500000US06089|01682610|Shasta County|9778891282|185818274|3775.651|71.745|40.760514|-122.043556
CA|06091|0500000US06091|00277310|Sierra County|2468694580|23299110|953.168|8.996|39.576925|-120.521993
CA|06093|0500000US06093|00277311|Siskiyou County|16261931190|179151860|6278.767|69.171|41.587986|-122.533287
CA|06095|0500000US06095|00277312|Solano County|2128290837|218611505|821.738|84.406|38.267226|-121.939594
CA|06097|0500000US06097|01657246|Sonoma County|4080103624|497291855|1575.337|192.005|38.525182|-122.92611
CA|06099|0500000US06099|00277314|Stanislaus County|3875010973|46378776|1496.15|17.907|37.562316|-121.002831
CA|06101|0500000US06101|00277315|Sutter County|1560975500|14811541|602.696|5.719|39.03619|-121.70394
CA|06103|0500000US06103|01692767|Tehama County|7638229381|33767224|2949.137|13.038|40.126157|-122.232274
CA|06105|0500000US06105|00277317|Trinity County|8234265082|73407950|3179.268|28.343|40.647858|-123.114666
CA|06107|0500000US06107|00277318|Tulare County|12493843648|37260863|4823.9|14.387|36.228834|-118.781055
CA|06109|0500000US06109|00277319|Tuolumne County|5752135141|138666931|2220.912|53.54|38.021434|-119.964733
CA|06111|0500000US06111|00277320|Ventura County|4767597085|947364124|1840.78|365.779|34.358748|-119.133145
CA|06113|0500000US06113|00277321|Yolo County|2623627930|22888380|1012.988|8.837|38.679609|-121.90275
CA|06115|0500000US06115|00277322|Yuba County|1636887865|31084093|632.006|12.002|39.27013|-121.344259
CO|08001|0500000US08001|00198116|Adams County|3021997387|43544989|1166.8|16.813|39.874325|-104.331872
CO|08003|0500000US08003|00198117|Alamosa County|1871643029|1670455|722.645|0.645|37.568442|-105.788041
CO|08005|0500000US08005|00198118|Arapahoe County|2066516726|19791984|797.887|7.642|39.644554|-104.331706
CO|08007|0500000US08007|00198119|Archuleta County|3496713581|13738831|1350.089|5.305|37.202395|-107.050863
CO|08009|0500000US08009|00198120|Baca County|6617400569|6142192|2554.993|2.372|37.30978|-102.543741
CO|08011|0500000US08011|00198121|Bent County|3918255143|73141519|1512.847|28.24|37.931891|-103.077584
CO|08013|0500000US08013|00198122|Boulder County|1881409373|36403508|726.416|14.055|40.094971|-105.39771
CO|08014|0500000US08014|01945881|Broomfield County|85384996|1502572|32.967|0.58|39.953877|-105.050898
CO|08015|0500000US08015|00198123|Chaffee County|2624715688|3999975|1013.408|1.544|38.734599|-106.300025
CO|08017|0500000US08017|00198124|Cheyenne County|4605713958|8166129|1778.276|3.153|38.835646|-102.601791
CO|08019|0500000US08019|00198125|Clear Creek County|1023234147|3274806|395.073|1.264|39.689403|-105.670783
CO|08021|0500000US08021|00198126|Conejos County|3334418691|9235012|1287.426|3.566|37.213406|-106.176447
CO|08023|0500000US08023|00198127|Costilla County|3179452305|8828906|1227.593|3.409|37.277547|-105.42894
CO|08025|0500000US08025|00198128|Crowley County|2039427880|33422980|787.428|12.905|38.30618|-103.772736
CO|08027|0500000US08027|00198129|Custer County|1913031986|3364150|738.626|1.299|38.101996|-105.373512
CO|08029|0500000US08029|00198130|Delta County|2958093553|16784209|1142.126|6.48|38.861423|-107.865043
CO|08031|0500000US08031|00198131|Denver County|396460153|4275563|153.074|1.651|39.76185|-104.881105
CO|08033|0500000US08033|00198132|Dolores County|2763958502|2716141|1067.17|1.049|37.733823|-108.506219
CO|08035|0500000US08035|00198133|Douglas County|2177889327|6795841|840.888|2.624|39.325414|-104.925987
