GEOID,GNIS ID,Name,Short Name,State,County GEOID,Urban Area GEOID,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
1731992,2398216,Village of Gulf Port,Gulf Port,IL,17071,11674,C1,54,34,3805230,2462552,40.8076466,-91.0845043
1732616,2398237,Village of Hanaford,Hanaford,IL,17055,,C1,327,155,2610759,15849,37.9579449,-88.835635
1740675,411684,Lafayette,Lafayette,IL,17175,,C4,,,,,41.1080927,-89.9714998
1752948,414472,New Windsor,New Windsor,IL,17131,,C4,,,,,41.2022584,-90.4423521
1775874,2399999,Village of Tower Lakes,Tower Lakes,IL,17097,16264,C1,1283,439,2371001,322474,42.231476,-88.1537828
1777083,420187,Utica,Utica,IL,17099,,C4,,,,,41.3405897,-89.010081
1730679,422272,Grand Chain,Grand Chain,IL,17153,,C4,,,,,37.2517187,-89.0234037
1775458,426969,Timewell,Timewell,IL,17009,,C4,,,,,40.007826,-90.8737433
1742184,2395636,City of LaSalle,LaSalle,IL,17099,68833,C1,9609,4437,33401599,287073,41.3335851,-89.0930013
1714000,428803,City of Chicago,Chicago,IL,17031,16264,C5,2695598,1194337,588881101,17625494,41.8369037,-87.6847476
1884788,446173,Windfall,Windfall,IN,18159,,C4,,,,,40.3630938,-85.9563738
1872746,449734,State Line,State Line,IN,18171,,C4,,,,,40.1972589,-87.5269616
1939630,457951,Jewell,Jewell,IA,19079,,C4,,,,,42.3069254,-93.6402159
1901135,467384,City of Algona,Algona,IA,19109,01387,C2,5560,2711,11654210,16085,43.0743166,-94.2301199
1905590,467432,City of Belle Plaine,Belle Plaine,IA,19011,,C2,2534,1258,8233224,40666,41.8952524,-92.2753004
1907030,467463,City of Bloomfield,Bloomfield,IA,19051,,C2,2640,1259,5852253,70306,40.7487671,-92.4173637
1911080,467532,City of Carroll,Carroll,IA,19027,13996,C2,10103,4698,14840885,0,42.0698601,-94.8647391
1912000,467567,City of Cedar Rapids,Cedar Rapids,IA,19113,14752,C2,126326,57217,183429674,3228537,41.9667319,-91.6781679
1912315,467589,City of Centerville,Centerville,IA,19007,14914,C2,5528,2838,12484269,75478,40.729391,-92.8717481
1912720,467591,City of Chariton,Chariton,IA,19117,15346,C2,4321,2114,9884680,0,41.0175751,-93.3094486
1912765,467592,City of Charles City,Charles City,IA,19067,15373,C2,7652,3761,16099648,224739,43.0643521,-92.6745202
1914025,467618,City of Clear Lake,Clear Lake,IA,19033,17506,C2,7777,4423,27962840,6834998,43.1346536,-93.3739922
1914430,467625,City of Clinton,Clinton,IA,19045,17938,C2,26885,12202,91056996,7388512,41.8434359,-90.2407895
1917265,467666,City of Creston,Creston,IA,19175,21016,C2,7834,3773,13435954,163699,41.0597298,-94.3650388
1918075,467672,City of Dakota City,Dakota City,IA,19091,40618,C2,843,382,1909983,97732,42.7229033,-94.1976919
1922395,467744,City of Dubuque,Dubuque,IA,19061,24823,C2,57637,25029,79294782,2811343,42.5006831,-90.7068372
1924465,467769,City of Eldora,Eldora,IA,19083,,C2,2732,1275,11087976,0,42.3605951,-93.1012867
1926445,467811,City of Fairfield,Fairfield,IA,19101,28711,C2,9464,4650,16945787,408265,41.00661,-91.967096
1927165,467827,City of Fayette,Fayette,IA,19065,,C2,1338,485,3826594,0,42.8415054,-91.8036753
1928515,467843,City of Fort Dodge,Fort Dodge,IA,19187,30682,C2,25206,11215,41553454,689723,42.5098032,-94.1751054
1933105,467979,City of Grinnell,Grinnell,IA,19157,35704,C2,9218,3844,14651196,106334,41.7372767,-92.7244148
1933780,467990,City of Hamburg,Hamburg,IA,19071,,C2,1187,594,2843864,1224,40.606121,-95.6545764
1933960,467996,City of Hampton,Hampton,IA,19069,36622,C2,4461,1971,11472056,0,42.7420064,-93.2049662
1934500,468007,City of Harlan,Harlan,IA,19165,36838,C2,5106,2410,11375397,0,41.6495154,-95.3268616
1937560,468059,City of Humboldt,Humboldt,IA,19091,40618,C2,4690,2246,11965858,401117,42.7231707,-94.2245139
1938280,468071,City of Indianola,Indianola,IA,19181,41239,C2,14782,5893,29313038,0,41.3628906,-93.5651728
1938595,468086,City of Iowa City,Iowa City,IA,19103,41590,C2,67862,29270,66274656,1397496,41.6559023,-91.5304462
1939450,468135,City of Jefferson,Jefferson,IA,19073,42859,C2,4345,2156,15456653,99594,42.017241,-94.3797781
1940845,468166,City of Keokuk,Keokuk,IA,19111,44560,C2,10780,5071,23515563,3753536,40.4095595,-91.403029
1942465,468186,City of Lake City,Lake City,IA,19025,,C2,1727,846,12462056,0,42.2676372,-94.7310464
1942960,468191,City of Lamoni,Lamoni,IA,19053,,C2,2324,927,10252021,253335,40.6204912,-93.934323
1944535,468204,City of Leon,Leon,IA,19053,,C2,1977,952,8216623,22454,40.7407471,-93.7545236
1948720,468337,City of Malvern,Malvern,IA,19129,,C2,1142,499,4154265,0,41.0075619,-95.5856662
1948945,468338,City of Manning,Manning,IA,19027,,C2,1500,719,6439499,17812,41.9092116,-95.0642334
1950160,468366,City of Mason City,Mason City,IA,19033,55414,C2,28079,13352,71986675,778536,43.1487201,-93.1998074
1954480,468415,City of Mount Ayr,Mount Ayr,IA,19159,,C2,1691,822,6878943,53166,40.7141372,-94.2376587
1954705,468416,City of Mount Pleasant,Mount Pleasant,IA,19087,60085,C2,8668,3365,22260931,39136,40.9624784,-91.5452358
1959115,468464,City of Onawa,Onawa,IA,19133,65350,C2,2998,1519,13435794,0,42.0267577,-96.0905046
1959835,468477,City of Osceola,Osceola,IA,19039,66133,C2,4929,2184,18383841,862887,41.0302167,-93.7829136
1959925,468480,City of Oskaloosa,Oskaloosa,IA,19123,66187,C2,11463,5144,20775836,39894,41.2922158,-92.6403982
1968520,468637,City of Rolfe,Rolfe,IA,19151,,C2,584,305,2719090,2880,42.8129005,-94.5313396
1972210,468687,City of Sheffield,Sheffield,IA,19069,,C2,1172,510,14382609,74080,42.8928802,-93.208697
1972480,468690,City of Shellsburg,Shellsburg,IA,19011,,C2,983,455,2045851,0,42.0929406,-91.8709837
1973335,468720,City of Sioux City,Sioux City,IA,19193,82225,C5,82684,33425,151380119,3018329,42.4958217,-96.3901389
1973425,468721,City of Sioux Rapids,Sioux Rapids,IA,19021,,C2,775,367,2143971,0,42.891608,-95.1487935
1974280,468732,City of Spencer,Spencer,IA,19041,83629,C2,11233,5431,28302489,416679,43.1467871,-95.1534302
1975630,468754,City of Storm Lake,Storm Lake,IA,19021,85114,C2,10600,3791,13660511,0,42.6431467,-95.1970008
1976260,468764,City of Sumner,Sumner,IA,19017,,C2,2028,944,6351696,34945,42.8497942,-92.0970436
1976935,468776,City of Tabor,Tabor,IA,19071,,C6,1040,451,3335068,0,40.8949387,-95.6737118
1981210,468871,City of Vinton,Vinton,IA,19011,90811,C2,5257,2299,12210700,226687,42.1638951,-92.0260813
1982425,468951,City of Waterloo,Waterloo,IA,19013,92593,C2,68406,30723,159261394,4493267,42.4919737,-92.3521758
1982875,468955,City of Waverly,Waverly,IA,19017,93079,C2,9874,3732,29151686,1295168,42.724871,-92.4707117
1983145,468965,City of Webster City,Webster City,IA,19079,93511,C2,8070,3800,22958107,38463,42.4623327,-93.8166983
1984765,468989,City of West Union,West Union,IA,19065,,C2,2486,1240,7190468,0,42.9588918,-91.8132
1986520,469011,City of Winterset,Winterset,IA,19121,96778,C2,5190,2267,11997143,360471,41.3455206,-94.013512
2027050,471381,Gove,Gove,KS,20063,,C4,,,,,38.9577876,-100.4887486
2035575,471702,Johnson,Johnson,KS,20187,,C4,,,,,37.5705725,-101.7510047
2040800,472553,Lincoln,Lincoln,KS,20105,,C4,,,,,39.0408395,-98.1447743
2005400,473837,Bellaire,Bellaire,KS,20173,,C4,,,,,37.7625125,-97.266988
2000125,485539,City of Abilene,Abilene,KS,20041,00253,C5,6844,3143,12330297,8788,38.9229212,-97.2251517
2001975,485540,City of Anthony,Anthony,KS,20077,,C5,2269,1217,7832024,458153,37.157366,-98.0408338
2002300,485541,City of Arkansas City,Arkansas City,KS,20035,03142,C5,12415,5646,24127685,49990,37.0726383,-97.0384839
2002900,485542,City of Atchison,Atchison,KS,20005,03601,C5,11021,4442,20737931,1179629,39.5627181,-95.1372675
2003300,485543,City of Augusta,Augusta,KS,20015,04168,C5,9274,3951,10946622,1634757,37.6945823,-96.9730752
2004625,485544,City of Baxter Springs,Baxter Springs,KS,20021,05815,C5,4238,2053,8154200,226844,37.0195546,-94.7350738
2005337,485545,City of Bel Aire,Bel Aire,KS,20173,95077,C5,6769,2554,17519494,81401,37.7749026,-97.2457386
2005600,485546,City of Belleville,Belleville,KS,20157,,C5,1991,1162,5300086,97235,39.8231886,-97.6332529
2005775,485547,City of Beloit,Beloit,KS,20123,06733,C5,3835,1842,10143803,65426,39.4644721,-98.1082752
2007975,485548,City of Bonner Springs,Bonner Springs,KS,20209,43912,C5,7314,3025,40479284,952254,39.0816921,-94.8775844
2009400,485549,City of Burlington,Burlington,KS,20031,11701,C5,2674,1296,5706125,42991,38.1931429,-95.7452428
2009900,485550,City of Caldwell,Caldwell,KS,20191,,C5,1068,642,2768404,0,37.0350095,-97.6088678
2010375,485551,City of Caney,Caney,KS,20125,,C5,2203,1020,3502760,985,37.0136348,-95.9318158
2012500,485552,City of Chanute,Chanute,KS,20133,15265,C5,9119,4178,18386083,316672,37.6696652,-95.4618711
2012925,485553,City of Cherryvale,Cherryvale,KS,20125,,C5,2367,1087,5002170,58717,37.2693136,-95.5539566
2012950,485554,City of Chetopa,Chetopa,KS,20099,,C5,1125,647,3465441,204849,37.0376305,-95.0925403
2013625,485555,City of Clay Center,Clay Center,KS,20027,17398,C5,4334,2158,8241833,4571,39.3811092,-97.1273207
2014600,485556,City of Coffeyville,Coffeyville,KS,20125,18478,C5,10295,5021,24503601,0,37.0344819,-95.6296565
2014650,485557,City of Colby,Colby,KS,20193,18532,C5,5387,2423,9601825,0,39.3841222,-101.046028
2015075,485558,City of Columbus,Columbus,KS,20021,19153,C5,3312,1633,6198485,0,37.1714516,-94.8441263
2015200,485559,City of Concordia,Concordia,KS,20029,19585,C5,5395,2545,11653764,0,39.5668718,-97.6467509
2015925,485560,City of Council Grove,Council Grove,KS,20127,,C5,2182,1107,5308498,31086,38.6623321,-96.4917093
2017850,485562,City of De Soto,De Soto,KS,20091,23770,C5,5720,2204,28727272,329544,38.9686206,-94.9549216
2018250,485563,City of Dodge City,Dodge City,KS,20057,24337,C5,27340,9378,37765142,272373,37.7609901,-100.0182181
2019825,485565,City of Edgerton,Edgerton,KS,20091,,C5,1671,645,16012740,149925,38.781601,-94.9617268
2020000,485566,City of Edwardsville,Edwardsville,KS,20209,43912,C5,4340,1716,23407905,818427,39.0764956,-94.8166175
2020075,485567,City of El Dorado,El Dorado,KS,20015,26524,C5,13021,5797,23724378,92566,37.820809,-96.8613596
2020425,485568,City of Ellinwood,Ellinwood,KS,20009,,C5,2131,1042,3399276,0,38.3591768,-98.5848459
2020450,485569,City of Ellis,Ellis,KS,20051,,C5,2062,959,4287798,0,38.9367365,-99.5593412
2020500,485570,City of Ellsworth,Ellsworth,KS,20053,27064,C5,3120,1154,6161555,0,38.7325707,-98.2286366
2021275,485571,City of Emporia,Emporia,KS,20111,27523,C5,24916,11352,31030702,299977,38.4027661,-96.1923972
2021800,485572,City of Eureka,Eureka,KS,20073,28252,C5,2633,1410,5931139,0,37.8260665,-96.2888248
2022700,485573,City of Fairway,Fairway,KS,20091,43912,C5,3882,1833,2923645,0,39.0245248,-94.6287174
2023600,485574,City of Florence,Florence,KS,20115,,C5,465,279,2009302,4157,38.2430551,-96.9292153
2024000,485575,City of Fort Scott,Fort Scott,KS,20011,30898,C5,8087,3819,14343356,101169,37.8283228,-94.7037656
2024575,485576,City of Fredonia,Fredonia,KS,20205,,C5,2482,1255,6289035,17104,37.5328817,-95.8224705
2024850,485577,City of Frontenac,Frontenac,KS,20037,69643,C5,3437,1519,12847997,236046,37.458388,-94.7015753
2025100,485578,City of Galena,Galena,KS,20021,32302,C5,3085,1429,11883810,136482,37.0750765,-94.6352329
2025325,485579,City of Garden City,Garden City,KS,20055,32518,C5,26658,9656,27933596,60441,37.9753945,-100.8528201
2025425,485580,City of Gardner,Gardner,KS,20091,43912,C5,19123,7300,26645496,101846,38.816299,-94.9299175
2025925,485581,City of Garnett,Garnett,KS,20003,32626,C5,3415,1591,7982697,265694,38.2844348,-95.2407093
2026300,485582,City of Girard,Girard,KS,20037,33355,C5,2789,1228,6046543,96993,37.5092914,-94.8455076
2026875,485583,City of Goodland,Goodland,KS,20181,33922,C5,4489,2395,11587262,17303,39.3490325,-101.7141353
2028300,485584,City of Great Bend,Great Bend,KS,20009,34705,C5,15995,7113,27190354,345852,38.3592621,-98.801612
2028675,485585,City of Greensburg,Greensburg,KS,20097,,C1,777,431,4633265,0,37.6048753,-99.2895685
2029600,485586,City of Halstead,Halstead,KS,20079,,C5,2085,917,3533036,0,37.9998906,-97.5102074
2030175,485587,City of Harper,Harper,KS,20077,,C5,1473,742,4193888,0,37.2850616,-98.0276405
2030825,485588,City of Haviland,Haviland,KS,20097,,C1,701,261,1275150,0,37.6174129,-99.1058204
2031100,485589,City of Hays,Hays,KS,20051,37783,C5,20510,9311,21719393,0,38.8815288,-99.3217537
2031400,485590,City of Herington,Herington,KS,20127,,C5,2526,1300,12498250,74914,38.696762,-96.8030861
2031675,485591,City of Hiawatha,Hiawatha,KS,20013,38593,C5,3172,1588,6720046,0,39.851691,-95.5381063
2032275,485592,City of Hillsboro,Hillsboro,KS,20115,38890,C5,2993,1193,6325981,36527,38.3524438,-97.1990435
2032550,485593,City of Hoisington,Hoisington,KS,20009,39295,C5,2706,1361,3003966,0,38.5180629,-98.7773756
2032825,485594,City of Holton,Holton,KS,20085,39592,C5,3329,1652,6930795,215243,39.4698758,-95.7319438
2033200,485595,City of Horton,Horton,KS,20013,,C5,1776,904,4321014,38501,39.6626878,-95.5326987
2033450,485596,City of Humboldt,Humboldt,KS,20001,,C5,1953,923,3707978,19611,37.8118548,-95.4370136
2033625,485597,City of Hutchinson,Hutchinson,KS,20155,40915,C5,42080,18580,63660321,135613,38.0671024,-97.9080829
2033875,485598,City of Independence,Independence,KS,20125,41158,C5,9483,4528,19853730,13181,37.2254871,-95.7193345
2034300,485599,City of Iola,Iola,KS,20001,41482,C5,5704,2636,11584680,709738,37.9273744,-95.4005442
2035750,485600,City of Junction City,Junction City,KS,20061,43507,C5,23353,10480,28766653,254584,39.0271763,-96.8496244
2036000,485601,City of Kansas City,Kansas City,KS,20209,43912,C5,145786,61969,323274537,9232122,39.123461,-94.7441955
2036950,485602,City of Kingman,Kingman,KS,20095,45154,C5,3177,1546,8965300,30082,37.6476726,-98.1159726
2037075,485603,City of Kinsley,Kinsley,KS,20047,,C5,1457,813,3355668,0,37.9223769,-99.4114068
2037725,485604,City of La Harpe,La Harpe,KS,20001,,C5,578,273,2078681,3638,37.9165781,-95.3023231
2037975,485605,City of Lake Quivira,Lake Quivira,KS,20091,43912,C5,906,395,3614319,393534,39.0388077,-94.7687844
2038650,485607,City of Lansing,Lansing,KS,20103,48475,C5,11265,3371,30535276,265191,39.2426701,-94.8951406
2038700,485608,City of Larned,Larned,KS,20145,47881,C5,4054,2130,6241408,0,38.1833901,-99.1012604
2038900,485609,City of Lawrence,Lawrence,KS,20045,48232,C5,87643,37502,88411995,2156303,38.9597484,-95.2641356
2039000,485610,City of Leavenworth,Leavenworth,KS,20103,48475,C5,35251,13670,63460263,164816,39.3225644,-94.9247489
2039075,485611,City of Leawood,Leawood,KS,20091,43912,C5,31867,12384,39117875,267074,38.9075493,-94.6258232
2039350,485612,City of Lenexa,Lenexa,KS,20091,43912,C5,48190,20832,88236353,842683,38.9609042,-94.8018429
2039825,485613,City of Liberal,Liberal,KS,20175,49636,C5,20525,7118,29528370,572999,37.0465833,-100.9295476
2041375,485614,City of Lindsborg,Lindsborg,KS,20113,50095,C5,3458,1414,4711333,42801,38.5772246,-97.673807
2042875,485615,City of Louisburg,Louisburg,KS,20121,51607,C5,4315,1718,12633408,324469,38.62032,-94.676986
2043525,485616,City of Lyons,Lyons,KS,20159,52309,C5,3739,1716,6695638,0,38.3462177,-98.2044735
2043950,485617,City of McPherson,McPherson,KS,20113,52903,C5,13155,5952,19240168,132803,38.3713773,-97.6605603
2044250,485618,City of Manhattan,Manhattan,KS,20161,53848,C5,52281,21619,51363512,135933,39.1882511,-96.6052657
2044750,485619,City of Marion,Marion,KS,20115,,C5,1927,973,6943987,19800,38.3539869,-97.0081877
2045050,485620,City of Marysville,Marysville,KS,20117,55279,C5,3294,1646,11858804,81340,39.8430818,-96.6386808
2046000,485621,City of Merriam,Merriam,KS,20091,43912,C5,11003,5224,11182152,11456,39.0186027,-94.6933619
2047075,485622,City of Minneapolis,Minneapolis,KS,20143,,C5,2032,919,4747884,0,39.1242901,-97.6996561
2047225,485623,City of Mission,Mission,KS,20091,43912,C5,9323,5477,6914934,19155,39.0269733,-94.6568319
2047350,485624,City of Mission Hills,Mission Hills,KS,20091,43912,C5,3498,1326,5276388,2474,39.0140893,-94.6171229
2047425,485625,City of Mission Woods,Mission Woods,KS,20091,43912,C5,178,80,230106,0,39.0341885,-94.6106048
2049025,485626,City of Mulberry,Mulberry,KS,20037,,C5,520,271,1219712,0,37.5560821,-94.6234417
2049075,485627,City of Mullinville,Mullinville,KS,20097,,C1,255,132,1661429,0,37.5890411,-99.4756306
2049650,485628,City of Neodesha,Neodesha,KS,20205,61516,C5,2486,1204,3605436,133632,37.4241684,-95.6848682
2050475,485629,City of Newton,Newton,KS,20079,63109,C5,19132,8237,37120050,0,38.0363882,-97.3463334
2050525,485630,City of Nickerson,Nickerson,KS,20155,,C5,1070,493,3354977,0,38.148899,-98.0882605
2051500,485631,City of Norton,Norton,KS,20137,64000,C5,2928,1465,4987432,0,39.8363933,-99.8916233
2052000,485632,City of Oberlin,Oberlin,KS,20039,,C5,1788,1046,4946585,0,39.8230398,-100.5307376
2052575,485633,City of Olathe,Olathe,KS,20091,43912,C5,125872,46851,159607060,1965348,38.8837988,-94.819588
2053200,485634,City of Osage City,Osage City,KS,20139,66068,C5,2943,1359,8155920,200757,38.6336481,-95.8218057
2053225,485635,City of Osawatomie,Osawatomie,KS,20121,66079,C5,4447,1891,13630834,229277,38.5089418,-94.9357965
2053325,485636,City of Osborne,Osborne,KS,20141,,C5,1431,776,4080760,0,39.4406702,-98.6993748
2053450,485637,City of Oswego,Oswego,KS,20099,,C5,1829,869,6182334,141440,37.167353,-95.1121494
2053550,485638,City of Ottawa,Ottawa,KS,20059,66322,C5,12649,5518,25537969,250897,38.5999716,-95.2641452
2053775,485639,City of Overland Park,Overland Park,KS,20091,43912,C5,173372,76280,194716455,1194500,38.8869705,-94.6870284
2054250,485640,City of Paola,Paola,KS,20121,67321,C5,5602,2344,13255008,1090550,38.5783267,-94.8619836
2054675,485641,City of Parsons,Parsons,KS,20099,67780,C5,10500,5034,27468612,223088,37.3424337,-95.2664299
2055675,485642,City of Phillipsburg,Phillipsburg,KS,20147,69157,C5,2581,1307,4402022,0,39.751201,-99.3210245
2056025,485643,City of Pittsburg,Pittsburg,KS,20037,69643,C5,20233,9210,33828601,248924,37.4129275,-94.6987119
2057575,485644,City of Prairie Village,Prairie Village,KS,20091,43912,C5,21447,10227,16085172,29545,38.9874327,-94.6361068
2057625,485645,City of Pratt,Pratt,KS,20151,71965,C5,6835,3201,19121446,317877,37.7045588,-98.7573351
2060825,485646,City of Roeland Park,Roeland Park,KS,20091,43912,C5,6731,3282,4190786,0,39.0358686,-94.6374072
2061825,485647,City of Russell,Russell,KS,20167,76852,C5,4506,2393,12473467,0,38.8878022,-98.8512353
2062025,485648,City of Sabetha,Sabetha,KS,20131,77027,C5,2571,1230,8252535,31553,39.9135189,-95.7916896
2062700,485649,City of Salina,Salina,KS,20169,78283,C5,47707,20803,66658249,85077,38.8137022,-97.6143473
2063325,485650,City of Scammon,Scammon,KS,20021,,C5,482,219,1623794,9664,37.278067,-94.8230264
2063950,485651,City of Seneca,Seneca,KS,20131,,C5,1991,982,4281117,0,39.8376069,-96.0690387
2064500,485652,City of Shawnee,Shawnee,KS,20091,43912,C5,62209,24954,108713416,2299372,39.0157859,-94.8076325
2067625,485653,City of Spring Hill,Spring Hill,KS,20091,84034,C5,5437,2069,22634922,291159,38.7563559,-94.8200749
2068200,485654,City of Sterling,Sterling,KS,20159,,C5,2328,933,4639029,109443,38.2094068,-98.2063712
2071000,485655,City of Topeka,Topeka,KS,20177,88084,C5,127473,59582,159132826,3400778,39.0345838,-95.6955432
2075825,485656,City of Washington,Washington,KS,20201,,C5,1131,582,2506586,97267,39.8173489,-97.048814
2076350,485657,City of Weir,Weir,KS,20021,,C5,686,309,2477456,0,37.3082912,-94.7746779
2076475,485658,City of Wellington,Wellington,KS,20191,93700,C5,8172,3736,18959013,2312939,37.2717741,-97.3973316
2077500,485660,City of Westwood,Westwood,KS,20091,43912,C5,1506,732,1065135,0,39.0393794,-94.6155796
2077525,485661,City of Westwood Hills,Westwood Hills,KS,20091,43912,C5,359,177,165503,0,39.0389049,-94.6096636
2079000,485662,City of Wichita,Wichita,KS,20173,95077,C5,382368,167310,417571183,11388447,37.6896722,-97.3442305
2079950,485663,City of Winfield,Winfield,KS,20035,96319,C5,12301,5217,28864689,3550449,37.2378557,-96.9851548
2080700,485664,City of Yates Center,Yates Center,KS,20207,,C5,1417,821,6853430,1121361,37.8680772,-95.7535157
2100946,2403082,City of Allen,Allen,KY,21071,72208,C1,193,92,462646,35067,37.6118887,-82.7291761
2146000,496343,Lexington,Lexington,KY,21067,,C4,,,,,37.9886892,-84.4777153
2151906,498153,Middlesboro,Middlesboro,KY,21013,,C4,,,,,36.6084155,-83.7165824
2148000,2404963,City of Louisville,Louisville,KY,21111,,C1,,,159116958,12579355,38.2250196,-85.7415395
2255000,545142,City of New Orleans,New Orleans,LA,22071,62677,C5,343829,189896,438820361,467278772,30.0686437,-89.9281281
2239090,554912,Keatchie,Keatchie,LA,22031,,C4,,,,,32.1884945,-93.9054624
2302060,582333,City of Auburn,Auburn,ME,23001,49339,C5,23055,11016,153678499,16576857,44.0851429,-70.2492868
2302100,582334,City of Augusta,Augusta,ME,23011,04195,C5,19136,9756,142830769,7482145,44.3341018,-69.7318763
2302795,582340,City of Bangor,Bangor,ME,23019,04951,C5,33039,15674,88731359,868257,44.8322681,-68.7906073
2303355,582343,City of Bath,Bath,ME,23023,11040,C5,8514,4437,23617629,10616429,43.9345529,-69.8346374
2303950,582347,City of Belfast,Belfast,ME,23027,06355,C5,6668,3582,88164077,11204245,44.4266442,-69.0274559
2304860,582353,City of Biddeford,Biddeford,ME,23031,71263,C5,21277,10064,77920095,75099100,43.4439802,-70.3981522
2306925,582366,City of Brewer,Brewer,ME,23019,04951,C5,9482,4457,39455700,1168416,44.7835592,-68.7351593
2309585,582382,City of Calais,Calais,ME,23029,12295,C5,3123,1737,88895274,14981802,45.1339522,-67.2239198
2310565,582389,City of Caribou,Caribou,ME,23003,13645,C5,8189,3914,205362486,2082779,46.8661775,-67.9919866
2321730,582460,City of Eastport,Eastport,ME,23029,,C5,1331,1083,9414046,22534323,44.9146291,-67.0111933
2323200,582465,City of Ellsworth,Ellsworth,ME,23009,27070,C5,7741,4240,205353140,37898203,44.5841833,-68.4871464
2327085,582486,City of Gardiner,Gardiner,ME,23011,04195,C5,5800,2778,40598473,2314102,44.1910431,-69.7921173
2330550,582505,City of Hallowell,Hallowell,ME,23011,04195,C5,2381,1329,15201100,569567,44.2904703,-69.8140553
2338740,582554,City of Lewiston,Lewiston,ME,23001,49339,C5,36592,16731,88439163,3595480,44.0914582,-70.1680816
2355225,582648,City of Old Town,Old Town,ME,23019,04951,C5,7840,3665,100552749,11462028,44.9491101,-68.7248765
2360545,582683,City of Portland,Portland,ME,23005,71263,C5,66194,33836,55863358,123988305,43.6470835,-70.1682277
2360825,582686,City of Presque Isle,Presque Isle,ME,23003,72154,C5,9692,4608,196262928,4724197,46.68672,-67.9873503
2363590,582698,City of Rockland,Rockland,ME,23013,75799,C5,7297,3925,33259746,5773212,44.1250046,-69.1315572
2364675,582705,City of Saco,Saco,ME,23031,71263,C5,18482,8508,99653050,36991909,43.5206942,-70.4240968
