Code,Name
804,"Palm Springs, CA"
656,"Panama City, FL"
597,"Parkersburg, WV"
675,"Peoria-Bloomington, IL"
504,"Philadelphia, PA"
753,"Phoenix et al, AZ"
508,"Pittsburgh, PA"
820,"Portland, OR"
500,"Portland-Auburn, ME"
552,"Presque Isle, ME"
521,"Providence et al, RI-MA"
717,"Quincy et al, IL-MO-IA"
560,"Raleigh et al, NC"
764,"Rapid City, SD"
811,"Reno, NV"
556,"Richmond-Petersburg, VA"
573,"Roanoke-Lynchburg, VA"
611,"Rochester et al, MN-IA"
538,"Rochester, NY"
610,"Rockford, IL"
862,"Sacramento et al, CA"
576,"Salisbury, MD"
770,"Salt Lake City, UT"
661,"San Angelo, TX"
641,"San Antonio, TX"
825,"San Diego, CA"
807,"San Francisco et al, CA"
855,"Santa Barbara et al, CA"
507,"Savannah, GA"
819,"Seattle-Tacoma, WA"
657,"Sherman-Ada, TX-OK"
612,"Shreveport, LA"
624,"Sioux City, IA"
725,"Sioux Falls et al, SD"
588,"South Bend-Elkhart, IN"
881,"Spokane, WA"
619,"Springfield, MO"
543,"Springfield-Holyoke, MA"
638,"St. Joseph, MO"
609,"St. Louis, MO"
555,"Syracuse, NY"
530,"Tallahassee et al, FL-GA"
539,"Tampa et al, FL"
581,"Terre Haute, IN"
547,"Toledo, OH"
605,"Topeka, KS"
540,"Traverse City et al, MI"
531,"Tri-Cities, TN-VA"
789,"Tucson(Sierra Vista), AZ"
671,"Tulsa, OK"
760,"Twin Falls, ID"
709,"Tyler-Longview et al, TX"
526,"Utica, NY"
626,"Victoria, TX"
548,"W. Palm Beach et al, FL"
625,"Waco-Temple-Bryan, TX"
511,"Washington et al, DC-MD"
549,"Watertown, NY"
705,"Wausau-Rhinelander, WI"
554,"Wheeling et al, WV-OH"
627,"Wichita Fls et al, TX-OK"
678,"Wichita et al, KS"
577,"Wilkes Barre et al, PA"
550,"Wilmington, NC"
810,"Yakima et al, WA"
536,"Youngstown, OH"
771,"Yuma-El Centro, AZ-CA"
596,"Zanesville, OH"
